"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3385515","ezlippi/tinyhttpd",false,"25","2","0","3820","C","master","GNU General Public License v3.0",,"309","10161","4","45","2015-05-20T06:44:01","2023-07-27T08:52:45","2023-08-01T01:03:50","43","21","19","9","70","544","91","[{""commentLines"":0,""codeLines"":87,""blankLines"":14,""language"":""Markdown""},{""commentLines"":91,""codeLines"":410,""blankLines"":48,""language"":""C""},{""commentLines"":0,""codeLines"":11,""blankLines"":0,""language"":""HTML""},{""commentLines"":0,""codeLines"":28,""blankLines"":7,""language"":""Perl""},{""commentLines"":0,""codeLines"":8,""blankLines"":1,""language"":""make""}]","2018-01-20T05:21:51","fbd25cf755075d803cba09201a8f0dd6ac347c27",true,false,false,false,"{""C"":16963,""Perl"":799,""HTML"":218,""Makefile"":158}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"3387088","apple/darwin-xnu",false,"123","1","0","1640","C","main","Other","https://opensource.apple.com/","579","10516","0","81924","2017-06-02T09:33:51","2023-01-13T01:48:01","2023-01-30T03:23:13","0","0","32","3","234817","1249683","398867","[{""commentLines"":0,""codeLines"":903,""blankLines"":172,""language"":""Windows Module Definition""},{""commentLines"":0,""codeLines"":378,""blankLines"":46,""language"":""DOS Batch""},{""commentLines"":4,""codeLines"":6307,""blankLines"":1196,""language"":""XML""},{""commentLines"":6,""codeLines"":66,""blankLines"":20,""language"":""Bourne Again Shell""},{""commentLines"":227117,""codeLines"":866973,""blankLines"":159960,""language"":""C""},{""commentLines"":5394,""codeLines"":24255,""blankLines"":4344,""language"":""Python""},{""commentLines"":550,""codeLines"":6704,""blankLines"":1475,""language"":""Objective-C""},{""commentLines"":0,""codeLines"":19408,""blankLines"":282,""language"":""HTML""},{""commentLines"":31,""codeLines"":818,""blankLines"":16,""language"":""ASP.NET""},{""commentLines"":16,""codeLines"":36,""blankLines"":7,""language"":""Awk""},{""commentLines"":35,""codeLines"":1092,""blankLines"":346,""language"":""Swift""},{""commentLines"":174,""codeLines"":559,""blankLines"":91,""language"":""Perl""},{""commentLines"":444,""codeLines"":2425,""blankLines"":342,""language"":""Bourne Shell""},{""commentLines"":83,""codeLines"":213,""blankLines"":9,""language"":""C Shell""},{""commentLines"":419,""codeLines"":1764,""blankLines"":173,""language"":""D""},{""commentLines"":0,""codeLines"":1841,""blankLines"":715,""language"":""Markdown""},{""commentLines"":272,""codeLines"":1860,""blankLines"":320,""language"":""Yacc""},{""commentLines"":16,""codeLines"":950,""blankLines"":127,""language"":""Lua""},{""commentLines"":140000,""codeLines"":195146,""blankLines"":40658,""language"":""C/C++ Header""},{""commentLines"":298,""codeLines"":6036,""blankLines"":1842,""language"":""make""},{""commentLines"":14382,""codeLines"":96848,""blankLines"":19073,""language"":""C++""},{""commentLines"":38,""codeLines"":111,""blankLines"":19,""language"":""Lex""},{""commentLines"":0,""codeLines"":55,""blankLines"":4,""language"":""DTrace""},{""commentLines"":9588,""codeLines"":14935,""blankLines"":3580,""language"":""Assembly""}]","2021-07-06T10:11:16","2ff845c2e033bd0ff64b5b6aa6063a1f8f65aa32",false,false,false,false,"{""C"":50739361,""C++"":5330823,""Python"":1392061,""Roff"":1382878,""Assembly"":858285,""HTML"":694084,""Makefile"":347353,""Objective-C"":329404,""Shell"":103176,""DTrace"":72221,""Yacc"":52486,""Swift"":50071,""Lua"":31069,""Perl"":28180,""D"":10304,""Lex"":3400,""SmPL"":3358,""Awk"":1247}","bug;darwin pending;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"3393757","andlabs/libui",false,"3957","3","7","612","C","master","Other",,"324","10641","35","6375","2015-04-17T12:35:54","2024-05-29T04:55:35","2024-05-30T10:46:15","367","173","183","80","7999","43690","4959","[{""commentLines"":3,""codeLines"":37,""blankLines"":3,""language"":""Awk""},{""commentLines"":51,""codeLines"":431,""blankLines"":37,""language"":""Meson""},{""commentLines"":2,""codeLines"":68,""blankLines"":3,""language"":""Swift""},{""commentLines"":1181,""codeLines"":15840,""blankLines"":3012,""language"":""C""},{""commentLines"":3,""codeLines"":18,""blankLines"":0,""language"":""Bourne Shell""},{""commentLines"":1158,""codeLines"":2404,""blankLines"":558,""language"":""C/C++ Header""},{""commentLines"":36,""codeLines"":535,""blankLines"":50,""language"":""YAML""},{""commentLines"":0,""codeLines"":700,""blankLines"":278,""language"":""Markdown""},{""commentLines"":75,""codeLines"":80,""blankLines"":16,""language"":""Diff""},{""commentLines"":0,""codeLines"":8,""blankLines"":2,""language"":""DOS Batch""},{""commentLines"":1437,""codeLines"":13462,""blankLines"":2151,""language"":""C++""},{""commentLines"":28,""codeLines"":85,""blankLines"":22,""language"":""Windows Resource File""},{""commentLines"":10,""codeLines"":35,""blankLines"":6,""language"":""Assembly""},{""commentLines"":965,""codeLines"":9782,""blankLines"":1841,""language"":""Objective-C""},{""commentLines"":8,""codeLines"":72,""blankLines"":3,""language"":""XML""},{""commentLines"":2,""codeLines"":133,""blankLines"":17,""language"":""Go""}]","2021-01-02T05:39:49","fea45b2d5b75839be0af9acc842a147c5cba9295",true,false,false,false,"{""C"":655562,""C++"":508375,""Objective-C"":360281,""Meson"":12808,""Go"":3123,""Swift"":2527,""Assembly"":1540,""Awk"":672,""Batchfile"":477,""Shell"":371}","bug;cmake dumbness;custom main loops;duplicate;enhancement;help wanted;invalid;notes;question;wontfix",""
"3395301","samypesse/how-to-make-a-computer-operating-system",false,"243","1","1","3358","C","master","Apache License 2.0","https://samypesse.gitbook.io/how-to-create-an-operating-system","1605","19655","32","5986","2013-11-29T05:36:32","2021-12-16T09:10:55","2021-12-18T01:00:28","71","44","95","40","6322","23443","3366","[{""commentLines"":0,""codeLines"":784,""blankLines"":282,""language"":""Markdown""},{""commentLines"":525,""codeLines"":4576,""blankLines"":1340,""language"":""C/C++ Header""},{""commentLines"":4,""codeLines"":366,""blankLines"":50,""language"":""make""},{""commentLines"":0,""codeLines"":36,""blankLines"":2,""language"":""Bourne Shell""},{""commentLines"":418,""codeLines"":3612,""blankLines"":1040,""language"":""C++""},{""commentLines"":2197,""codeLines"":13384,""blankLines"":3351,""language"":""C""},{""commentLines"":222,""codeLines"":685,""blankLines"":257,""language"":""Assembly""}]","2015-10-29T07:04:29","eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687",false,false,false,false,"{""C"":518507,""C++"":142301,""Assembly"":20356,""Makefile"":9623,""Ruby"":4779,""Shell"":456}","bug;duplicate;enhancement;invalid;question;wontfix",""
"3395302","fogleman/craft",false,"753","16","1","1365","C","master","MIT License","http://www.michaelfogleman.com/craft/","357","10167","10","14666","2013-04-09T07:47:38","2024-04-03T03:49:34","2024-04-04T09:13:53","161","80","151","45","26034","177790","64775","[{""commentLines"":12876,""codeLines"":35261,""blankLines"":5893,""language"":""C/C++ Header""},{""commentLines"":64,""codeLines"":864,""blankLines"":43,""language"":""Python""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""CSS""},{""commentLines"":302,""codeLines"":2002,""blankLines"":520,""language"":""Objective-C""},{""commentLines"":3,""codeLines"":37,""blankLines"":1,""language"":""HTML""},{""commentLines"":28,""codeLines"":266,""blankLines"":76,""language"":""Less""},{""commentLines"":7,""codeLines"":176,""blankLines"":5,""language"":""XML""},{""commentLines"":0,""codeLines"":373,""blankLines"":122,""language"":""Markdown""},{""commentLines"":0,""codeLines"":122,""blankLines"":27,""language"":""GLSL""},{""commentLines"":1,""codeLines"":870,""blankLines"":1,""language"":""SVG""},{""commentLines"":144,""codeLines"":755,""blankLines"":210,""language"":""CMake""},{""commentLines"":51350,""codeLines"":137063,""blankLines"":19136,""language"":""C""}]","2021-02-24T03:40:38","d6888a6e1e54340358ce25b1220f410541360b6b",true,false,false,false,"{""C"":164727,""Python"":34365,""GLSL"":3294,""CMake"":1197}","bug;duplicate;enhancement;invalid;question;wontfix","c;game;glsl;minecraft;multiplayer;opengl;sqlite"
"3395306","valdikss/goodbyedpi",false,"243","10","30","1720","C","master","Apache License 2.0","https://ntc.party/c/community-software/goodbyedpi","432","23761","16","266","2017-05-16T06:48:52","2024-09-23T06:31:05","2024-09-26T08:42:52","602","111","49","8","447","3638","365","[{""commentLines"":7,""codeLines"":166,""blankLines"":24,""language"":""YAML""},{""commentLines"":237,""codeLines"":2251,""blankLines"":261,""language"":""C""},{""commentLines"":118,""codeLines"":1025,""blankLines"":105,""language"":""C/C++ Header""},{""commentLines"":3,""codeLines"":44,""blankLines"":13,""language"":""make""},{""commentLines"":0,""codeLines"":7,""blankLines"":1,""language"":""INI""},{""commentLines"":0,""codeLines"":12,""blankLines"":0,""language"":""XML""},{""commentLines"":0,""codeLines"":131,""blankLines"":43,""language"":""Markdown""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""Windows Resource File""}]","2024-09-23T06:31:04","abd2e77ca43e01702dec8260dbccb481f0e21771",true,false,false,false,"{""C"":186162,""Makefile"":1816}","bug;didn't read lol;dpi related;duplicate;enhancement;fragmentation;help wanted;in to-do list;info needed;invalid;isp specific;not our bug;question;waiting for windivert;windivert;wontfix","anticensorship;censorship-circumvention;deep-packet-inspection;dpi"
"3482723","cfenollosa/os-tutorial",false,"148","1","0","3248","C","master","BSD 3-Clause New or Revised License",,"805","26694","10","152","2014-09-29T08:39:34","2024-07-25T10:57:29","2024-07-26T09:39:10","172","69","103","50","1203","4806","677","[{""commentLines"":56,""codeLines"":148,""blankLines"":59,""language"":""make""},{""commentLines"":68,""codeLines"":636,""blankLines"":134,""language"":""C/C++ Header""},{""commentLines"":234,""codeLines"":1254,""blankLines"":290,""language"":""Assembly""},{""commentLines"":0,""codeLines"":982,""blankLines"":436,""language"":""Markdown""},{""commentLines"":319,""codeLines"":1786,""blankLines"":284,""language"":""C""}]","2023-09-19T03:35:22","ce8e050d246594fda7f0067d7f4c9abeaa2b269c",true,false,false,false,"{""C"":110745,""Assembly"":87999,""Makefile"":14987,""C++"":862}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"3482878","doctorwkt/acwj",false,"238","1","0","997","C","master","GNU General Public License v3.0",,"213","10277","13","4485","2019-10-18T08:11:21","2024-07-30T02:50:40","2024-07-31T03:15:58","49","20","27","4","25829","132046","34263","[{""commentLines"":61,""codeLines"":926,""blankLines"":317,""language"":""make""},{""commentLines"":32455,""codeLines"":98916,""blankLines"":18384,""language"":""C""},{""commentLines"":1462,""codeLines"":8724,""blankLines"":1271,""language"":""C/C++ Header""},{""commentLines"":283,""codeLines"":798,""blankLines"":140,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":22298,""blankLines"":5708,""language"":""Markdown""},{""commentLines"":0,""codeLines"":11,""blankLines"":0,""language"":""Fortran 77""},{""commentLines"":0,""codeLines"":320,""blankLines"":0,""language"":""Nemerle""},{""commentLines"":2,""codeLines"":53,""blankLines"":9,""language"":""Assembly""}]","2024-07-18T09:44:34","64e6ccf54271ca4fc60ff069b33fee38839d2735",true,false,false,false,"{""C"":7964887,""Shell"":156896,""Makefile"":63864,""Roff"":5754,""Assembly"":881,""C++"":332}","bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","c;compiler;lexical-analysis;parsing"
"3484163","libevent/libevent",false,"5046","5","20","3380","C","master","Other","https://libevent.org","476","11115","251","12717","2011-06-06T09:42:50","2024-10-03T07:32:11","2024-10-03T07:44:18","966","113","760","37","15815","76447","19155","[{""commentLines"":8,""codeLines"":7,""blankLines"":0,""language"":""Diff""},{""commentLines"":0,""codeLines"":13,""blankLines"":0,""language"":""JSON""},{""commentLines"":131,""codeLines"":574,""blankLines"":89,""language"":""make""},{""commentLines"":0,""codeLines"":675,""blankLines"":125,""language"":""Markdown""},{""commentLines"":0,""codeLines"":95,""blankLines"":7,""language"":""HTML""},{""commentLines"":9034,""codeLines"":7361,""blankLines"":2597,""language"":""C/C++ Header""},{""commentLines"":51,""codeLines"":600,""blankLines"":93,""language"":""Bourne Shell""},{""commentLines"":42,""codeLines"":1250,""blankLines"":165,""language"":""YAML""},{""commentLines"":7878,""codeLines"":59691,""blankLines"":11038,""language"":""C""},{""commentLines"":1311,""codeLines"":598,""blankLines"":415,""language"":""Python""},{""commentLines"":53,""codeLines"":1915,""blankLines"":239,""language"":""M4""},{""commentLines"":0,""codeLines"":23,""blankLines"":0,""language"":""XML""},{""commentLines"":5,""codeLines"":19,""blankLines"":3,""language"":""sed""},{""commentLines"":0,""codeLines"":1371,""blankLines"":483,""language"":""Text""},{""commentLines"":642,""codeLines"":2255,""blankLines"":561,""language"":""CMake""}]","2024-10-03T07:15:06","8f1e4bd937008a0026bd9c371e0f75f2aa86388a",true,false,false,false,"{""C"":2661284,""Roff"":118545,""CMake"":113313,""M4"":76957,""Python"":67481,""Shell"":17395,""Makefile"":10291,""sed"":731,""Vim Script"":304}","alpha;arch:x86;backport;backport:1.4;backport:2.0;backport:2.1;beta;build;build:autotools;build:cmake;build:cross-compiling;ci;debug-mode;dependencies;flaky;libevent-1.4;libevent-2.0;libevent-2.1;libevent-2.2;need-more-info;needs review;os:android;os:centos;os:freebsd;os:ios;os:linux;os:osx;os:others;os:solaris;os:windows;polls;prio:accepting-patches;prio:deferred;prio:high;prio:low;prio:normal;prio:release;prio:wishlist;releases;rfc;status:awaiting for reply;status:awaiting for test;status:awaiting for testing;status:blocked;status:confirmed;status:fix-in-upstream;status:reproducer;status:thirdparty;status:unconfirmed;status:wontfix;subsystem::timer;subsystem:buffer;subsystem:bufferevent;subsystem:dns;subsystem:http;subsystem:listener;subsystem:signal;subsystem:ssl;subsystem:wm;subsystem:ws;tests;type:bug;type:cleanup;type:dig;type:doc;type:dup;type:enhancement;type:feature;type:mt;type:perf;type:q;type:security","async;c;cross-platform;networking"
"3485263","alibaba/tengine",false,"1785","16","13","2515","C","master","BSD 2-Clause Simplified License","https://tengine.taobao.org","888","12732","97","24266","2012-03-21T06:34:37","2024-09-11T02:55:20","2024-09-11T10:02:32","997","413","958","48","117569","336578","23406","[{""commentLines"":3,""codeLines"":24,""blankLines"":7,""language"":""Bourne Again Shell""},{""commentLines"":8495,""codeLines"":69865,""blankLines"":28499,""language"":""Perl""},{""commentLines"":245,""codeLines"":1966,""blankLines"":143,""language"":""Vim Script""},{""commentLines"":12,""codeLines"":32,""blankLines"":17,""language"":""D""},{""commentLines"":220,""codeLines"":1448,""blankLines"":281,""language"":""Lua""},{""commentLines"":142,""codeLines"":2965,""blankLines"":259,""language"":""C++""},{""commentLines"":1,""codeLines"":115,""blankLines"":15,""language"":""make""},{""commentLines"":18,""codeLines"":13904,""blankLines"":6747,""language"":""Markdown""},{""commentLines"":2546,""codeLines"":14806,""blankLines"":6851,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":142,""blankLines"":35,""language"":""Protocol Buffers""},{""commentLines"":19,""codeLines"":653,""blankLines"":25,""language"":""YAML""},{""commentLines"":62,""codeLines"":557,""blankLines"":132,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":99,""blankLines"":24,""language"":""SKILL""},{""commentLines"":0,""codeLines"":80,""blankLines"":0,""language"":""JSON""},{""commentLines"":166,""codeLines"":356,""blankLines"":123,""language"":""Diff""},{""commentLines"":0,""codeLines"":42,""blankLines"":2,""language"":""HTML""},{""commentLines"":11467,""codeLines"":229439,""blankLines"":74388,""language"":""C""},{""commentLines"":10,""codeLines"":85,""blankLines"":21,""language"":""Python""}]","2023-11-29T11:27:01","04baff4645f078331e004f2bc3ec20cf20cfbfcb",true,false,false,false,"{""C"":9074551,""Perl"":5178609,""Raku"":320729,""Vim Script"":130551,""C++"":114242,""Lua"":57008,""XS"":25346,""Shell"":16581,""Makefile"":4107,""Python"":3001,""DTrace"":2269,""HTML"":1051,""GDB"":647,""Elixir"":506,""Euphoria"":506}","bug;documentation;duplicate;enhancement;invalid;pending author feedback;question;release;todo;wontfix","http3;ingress;nginx;quic;tengine"
