"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3490520","webview/webview",false,"592","1","1","943","C++","master","MIT License",,"216","12551","78","5620","2017-08-19T08:26:00","2024-09-30T04:18:10","2024-10-02T07:29:56","752","151","398","14","1413","8044","1806","[{""commentLines"":19,""codeLines"":480,""blankLines"":190,""language"":""Markdown""},{""commentLines"":8,""codeLines"":682,""blankLines"":40,""language"":""YAML""},{""commentLines"":1524,""codeLines"":4075,""blankLines"":763,""language"":""C/C++ Header""},{""commentLines"":67,""codeLines"":637,""blankLines"":63,""language"":""C++""},{""commentLines"":3,""codeLines"":85,""blankLines"":9,""language"":""JavaScript""},{""commentLines"":3,""codeLines"":2,""blankLines"":2,""language"":""Windows Resource File""},{""commentLines"":0,""codeLines"":54,""blankLines"":0,""language"":""CSV""},{""commentLines"":0,""codeLines"":31,""blankLines"":0,""language"":""JSON""},{""commentLines"":57,""codeLines"":882,""blankLines"":161,""language"":""CMake""},{""commentLines"":12,""codeLines"":189,""blankLines"":32,""language"":""DOS Batch""},{""commentLines"":0,""codeLines"":25,""blankLines"":0,""language"":""SWIG""},{""commentLines"":2,""codeLines"":137,""blankLines"":32,""language"":""Python""},{""commentLines"":10,""codeLines"":185,""blankLines"":21,""language"":""C""},{""commentLines"":71,""codeLines"":286,""blankLines"":58,""language"":""Go""},{""commentLines"":30,""codeLines"":294,""blankLines"":42,""language"":""Bourne Shell""}]","2024-09-30T04:18:09","b19c598d8ceb863de6079d227ea46f23a797b4f2",false,false,false,false,"{""C++"":211877,""CMake"":42095,""C"":22541,""Shell"":12491,""Go"":9640,""Batchfile"":7731,""Python"":6305,""SWIG"":1230}","discussion;need: help;need: info;need: opinion;need: test;os: linux;os: macos;os: windows;possibly stale;priority: high;priority: low;priority: medium;priority: urgent;scope: api;scope: browser;scope: build;scope: ci;scope: documentation;scope: go;scope: interoperability;scope: performance;scope: security;scope: ui;stale;status: blocked;status: in progress;status: not applicable;status: not planned;type: bug report;type: feature;type: feature request;type: fix;type: improvement;type: quality assurance;type: refactor;type: regression","c;cpp;cross-platform;css;gtk;gui;html;javascript;library;single-header-lib;web;webkit;webui;webview;webview2"
"3490523","id-software/doom",false,"4","1","0","2157","C++","master","GNU General Public License v2.0",,"412","12961","1","149","2012-01-31T09:28:06","2024-05-24T01:18:59","2024-05-29T03:44:18","0","0","27","8","10213","39078","10236","[{""commentLines"":468,""codeLines"":1161,""blankLines"":392,""language"":""C++""},{""commentLines"":20,""codeLines"":98,""blankLines"":16,""language"":""make""},{""commentLines"":44,""codeLines"":188,""blankLines"":51,""language"":""Assembly""},{""commentLines"":6560,""codeLines"":32171,""blankLines"":7712,""language"":""C""},{""commentLines"":3144,""codeLines"":5460,""blankLines"":2042,""language"":""C/C++ Header""}]","2024-01-16T04:16:34","a77dfb96cb91780ca334d0d4cfd86957558007e0",false,false,false,false,"{""C++"":1283491,""C"":50233,""Assembly"":6629,""Makefile"":2386}","",""
"3804072","topjohnwu/magisk",false,"6986","1","136","12038","C++","master","GNU General Public License v3.0",,"1533","47425","273","59963","2016-09-08T12:42:53","2024-09-27T09:38:35","2024-09-29T10:03:36","5798","22","2385","3","8807","54462","5075","[{""commentLines"":376,""codeLines"":10115,""blankLines"":1708,""language"":""Kotlin""},{""commentLines"":327,""codeLines"":2521,""blankLines"":435,""language"":""Java""},{""commentLines"":12,""codeLines"":2269,""blankLines"":772,""language"":""Markdown""},{""commentLines"":2,""codeLines"":237,""blankLines"":47,""language"":""Gradle""},{""commentLines"":20,""codeLines"":473,""blankLines"":64,""language"":""make""},{""commentLines"":0,""codeLines"":269,""blankLines"":42,""language"":""YAML""},{""commentLines"":1236,""codeLines"":3007,""blankLines"":812,""language"":""C/C++ Header""},{""commentLines"":267,""codeLines"":126,""blankLines"":0,""language"":""Protocol Buffers""},{""commentLines"":2,""codeLines"":71,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":30,""codeLines"":50,""blankLines"":15,""language"":""ProGuard""},{""commentLines"":0,""codeLines"":3,""blankLines"":0,""language"":""Text""},{""commentLines"":791,""codeLines"":9981,""blankLines"":1530,""language"":""C++""},{""commentLines"":16,""codeLines"":17,""blankLines"":8,""language"":""Properties""},{""commentLines"":9,""codeLines"":210,""blankLines"":32,""language"":""TOML""},{""commentLines"":297,""codeLines"":6628,""blankLines"":804,""language"":""Rust""},{""commentLines"":581,""codeLines"":14491,""blankLines"":1517,""language"":""XML""},{""commentLines"":494,""codeLines"":2052,""blankLines"":409,""language"":""Bourne Shell""},{""commentLines"":21,""codeLines"":9,""blankLines"":2,""language"":""Diff""},{""commentLines"":57,""codeLines"":729,""blankLines"":227,""language"":""Python""},{""commentLines"":537,""codeLines"":1204,""blankLines"":362,""language"":""C""}]","2024-09-27T09:38:32","7f675f4bf77a7028f8c14b0cc51da079c8e78bb4",false,false,false,false,"{""C++"":512797,""Kotlin"":414280,""Rust"":228665,""Java"":123801,""Shell"":67198,""Python"":30319,""Makefile"":5595,""C"":699,""AIDL"":255}","app;confirmed;core;documentation;duplicate;enhancement;invalid;needs investigation;next;not enough info;not our issue;question;regression;spam;stale;wontfix",""
"3807263","transmission/transmission",false,"16136","46","74","1203","C++","main","Other","https://transmissionbt.com","215","12033","228","130379","2015-05-05T11:53:02","2024-09-23T11:32:25","2024-09-25T06:22:07","3299","656","3360","106","82740","447042","66578","[{""commentLines"":2,""codeLines"":16291,""blankLines"":3,""language"":""XML""},{""commentLines"":1,""codeLines"":331,""blankLines"":52,""language"":""WiX source""},{""commentLines"":0,""codeLines"":56,""blankLines"":13,""language"":""Gradle""},{""commentLines"":88,""codeLines"":48175,""blankLines"":86,""language"":""SVG""},{""commentLines"":0,""codeLines"":39,""blankLines"":5,""language"":""XSLT""},{""commentLines"":6,""codeLines"":1727,""blankLines"":74,""language"":""YAML""},{""commentLines"":0,""codeLines"":7015,""blankLines"":1054,""language"":""Markdown""},{""commentLines"":36,""codeLines"":1493,""blankLines"":274,""language"":""Sass""},{""commentLines"":0,""codeLines"":6859,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":6,""blankLines"":2,""language"":""Windows Resource File""},{""commentLines"":2,""codeLines"":331,""blankLines"":62,""language"":""CSS""},{""commentLines"":1,""codeLines"":967,""blankLines"":91,""language"":""HTML""},{""commentLines"":5202,""codeLines"":75387,""blankLines"":16259,""language"":""C++""},{""commentLines"":136,""codeLines"":3692,""blankLines"":559,""language"":""CMake""},{""commentLines"":0,""codeLines"":14065,""blankLines"":7,""language"":""Qt""},{""commentLines"":55420,""codeLines"":120385,""blankLines"":52517,""language"":""PO File""},{""commentLines"":342,""codeLines"":5990,""blankLines"":869,""language"":""JavaScript""},{""commentLines"":1,""codeLines"":5,""blankLines"":0,""language"":""Properties""},{""commentLines"":42,""codeLines"":5608,""blankLines"":1,""language"":""Glade""},{""commentLines"":4185,""codeLines"":19520,""blankLines"":5939,""language"":""C/C++ Header""},{""commentLines"":85,""codeLines"":157,""blankLines"":34,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":96417,""blankLines"":0,""language"":""Qt Linguist""},{""commentLines"":0,""codeLines"":38,""blankLines"":10,""language"":""DOS Batch""},{""commentLines"":927,""codeLines"":19234,""blankLines"":4143,""language"":""Objective-C++""},{""commentLines"":51,""codeLines"":51,""blankLines"":7,""language"":""C""},{""commentLines"":0,""codeLines"":1075,""blankLines"":269,""language"":""Text""},{""commentLines"":18,""codeLines"":694,""blankLines"":141,""language"":""PowerShell""},{""commentLines"":0,""codeLines"":30,""blankLines"":3,""language"":""IDL""},{""commentLines"":33,""codeLines"":1404,""blankLines"":266,""language"":""SCSS""}]","2024-09-23T11:32:25","ed2c6c40851b2c8cdd20b3a99c1f823898bdd055",false,false,false,false,"{""C++"":3666898,""Objective-C++"":813956,""JavaScript"":201697,""CMake"":122943,""Objective-C"":102051,""HTML"":52334,""SCSS"":35120,""Roff"":33042,""PowerShell"":31247,""Shell"":10053,""Rich Text Format"":7019,""CSS"":5997,""C"":3376,""Batchfile"":958,""Dockerfile"":626}","bep-compliance;bug;bug:regression;closed:declined;closed:discussion;closed:invalid;closed:not-transmission;closed:question;confirmed;de:gnome3;dependencies;ds:wayland;ds:x11;duplicate;feature disparity;good first issue;help wanted;i18n;needs clarification;needs code review;needs confirmation;needs notes;needs testers;needs ui review;needs update;notes:highlight;notes:none;os:linux;os:mac;os:windows;pr welcome;scope:3rdparty;scope:cli;scope:core;scope:create;scope:daemon;scope:docs;scope:edit;scope:gtk;scope:infra;scope:mac;scope:qt;scope:remote;scope:show;scope:test;scope:web;scope:wiki;semver:major;semver:minor;semver:patch;type:a11y;type:build;type:chore;type:ci;type:docs;type:feat;type:fix;type:perf;type:refactor;type:test;type:ui",""
"3807271","moonlight-stream/moonlight-qt",false,"2809","8","48","603","C++","master","GNU General Public License v3.0",,"95","10310","97","352297","2018-04-28T10:41:42","2024-10-02T09:16:27","2024-10-02T09:30:36","1304","341","98","12","6120","67464","3963","[{""commentLines"":3010,""codeLines"":20738,""blankLines"":3912,""language"":""C++""},{""commentLines"":0,""codeLines"":24,""blankLines"":8,""language"":""PowerShell""},{""commentLines"":178,""codeLines"":3243,""blankLines"":923,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":54,""blankLines"":9,""language"":""Metal""},{""commentLines"":2,""codeLines"":84,""blankLines"":9,""language"":""YAML""},{""commentLines"":0,""codeLines"":133,""blankLines"":35,""language"":""Markdown""},{""commentLines"":71,""codeLines"":485,""blankLines"":77,""language"":""Bourne Shell""},{""commentLines"":1,""codeLines"":39,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":0,""codeLines"":50,""blankLines"":12,""language"":""GLSL""},{""commentLines"":0,""codeLines"":35603,""blankLines"":0,""language"":""Qt Linguist""},{""commentLines"":28,""codeLines"":280,""blankLines"":52,""language"":""DOS Batch""},{""commentLines"":66,""codeLines"":704,""blankLines"":136,""language"":""ProGuard""},{""commentLines"":0,""codeLines"":4,""blankLines"":0,""language"":""Text""},{""commentLines"":0,""codeLines"":44,""blankLines"":0,""language"":""SVG""},{""commentLines"":1,""codeLines"":24,""blankLines"":2,""language"":""Bourne Again Shell""},{""commentLines"":3,""codeLines"":39,""blankLines"":8,""language"":""Qt Project""},{""commentLines"":322,""codeLines"":3007,""blankLines"":574,""language"":""QML""},{""commentLines"":0,""codeLines"":48,""blankLines"":0,""language"":""MSBuild script""},{""commentLines"":11,""codeLines"":1011,""blankLines"":15,""language"":""XML""},{""commentLines"":14,""codeLines"":204,""blankLines"":31,""language"":""WiX source""},{""commentLines"":14,""codeLines"":21,""blankLines"":5,""language"":""Diff""},{""commentLines"":8,""codeLines"":114,""blankLines"":27,""language"":""HLSL""},{""commentLines"":154,""codeLines"":1231,""blankLines"":228,""language"":""Objective-C++""},{""commentLines"":80,""codeLines"":280,""blankLines"":56,""language"":""C""}]","2024-10-02T05:37:22","3531fe0a4f28f7db6ed5053b5057f0c197a53de8",true,false,false,false,"{""C++"":1141391,""QML"":147938,""Objective-C++"":63170,""QMake"":27751,""Shell"":22297,""C"":16453,""Batchfile"":12704,""HLSL"":3375,""Metal"":2119,""GLSL"":1488,""PowerShell"":1288,""Objective-C"":504}","bug;duplicate;enhancement;game-specific issue;good first issue;help wanted;invalid;need more info;nvidia-bug;question;ship-blocker;stale;unable-to-reproduce;wontfix","gamestream;linux-app;macos-app;moonlight;nvidia;qt;sdl2;steam-link;windows-app"
"3879899","ariya/phantomjs",false,"1958","22","0","5840","C++","master","BSD 3-Clause New or Revised License","http://phantomjs.org","1139","29085","134","164709","2010-12-27T08:18:58","2022-11-26T07:43:12","2022-12-08T11:48:47","4744","10","1137","1","5891","27139","6032","[{""commentLines"":0,""codeLines"":12,""blankLines"":0,""language"":""XML""},{""commentLines"":2983,""codeLines"":14098,""blankLines"":3044,""language"":""JavaScript""},{""commentLines"":35,""codeLines"":287,""blankLines"":44,""language"":""Bourne Shell""},{""commentLines"":1353,""codeLines"":1155,""blankLines"":468,""language"":""C/C++ Header""},{""commentLines"":6,""codeLines"":143,""blankLines"":19,""language"":""YAML""},{""commentLines"":0,""codeLines"":604,""blankLines"":234,""language"":""Markdown""},{""commentLines"":0,""codeLines"":253,""blankLines"":1,""language"":""HTML""},{""commentLines"":144,""codeLines"":942,""blankLines"":176,""language"":""Python""},{""commentLines"":0,""codeLines"":7,""blankLines"":0,""language"":""CSS""},{""commentLines"":617,""codeLines"":4348,""blankLines"":792,""language"":""C""},{""commentLines"":0,""codeLines"":7,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":25,""blankLines"":3,""language"":""Windows Resource File""},{""commentLines"":894,""codeLines"":5229,""blankLines"":1100,""language"":""C++""},{""commentLines"":0,""codeLines"":29,""blankLines"":10,""language"":""CMake""}]","2020-07-13T03:08:08","0a0b0facb16acfbabb7804822ecaf4f4b9dce3d2",true,false,false,false,"{""C++"":307734,""JavaScript"":229892,""C"":190740,""Python"":45630,""HTML"":5353,""Shell"":1381,""CMake"":1236,""CSS"":159}","bug;build;confirmed;crash;documentation;duplicate;macos;meta;need code;need more information;need reproduction;need testing;needs investigation;pinned;pjs core;qt/other;qt/webkit;regression;stale;unclear;unix;windows",""
"3879900","google/guetzli",false,"145","1","5","1022","C++","master","Apache License 2.0",,"486","12802","17","490","2016-10-21T03:13:18","2023-04-22T07:41:10","2023-04-26T01:21:06","173","105","101","18","1094","9533","1567","[{""commentLines"":0,""codeLines"":744,""blankLines"":0,""language"":""XML""},{""commentLines"":1,""codeLines"":118,""blankLines"":16,""language"":""Bourne Shell""},{""commentLines"":1,""codeLines"":34,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":1,""codeLines"":46,""blankLines"":6,""language"":""Lua""},{""commentLines"":0,""codeLines"":153,""blankLines"":43,""language"":""Markdown""},{""commentLines"":1,""codeLines"":49,""blankLines"":12,""language"":""make""},{""commentLines"":8,""codeLines"":235,""blankLines"":18,""language"":""Bazel""},{""commentLines"":0,""codeLines"":82,""blankLines"":14,""language"":""YAML""},{""commentLines"":691,""codeLines"":1333,""blankLines"":347,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""SVG""},{""commentLines"":0,""codeLines"":42,""blankLines"":7,""language"":""Python""},{""commentLines"":864,""codeLines"":6696,""blankLines"":630,""language"":""C++""}]","2019-10-25T12:45:01","214f2bb42abf5a577c079d00add5d6cc470620d3",false,false,false,false,"{""C++"":252203,""Makefile"":15213,""PHP"":4360,""Shell"":3604,""Python"":2678,""Lua"":1475}","bug;duplicate;enhancement;help wanted;invalid;more-data-requested;question;wontfix",""
"3882861","ssloy/tinyrenderer",false,"114","9","0","1835","C++","master","Other","https://github.com/ssloy/tinyrenderer/wiki","418","18593","6","66691","2015-01-17T04:46:01","2023-11-09T02:43:40","2023-12-29T05:10:41","122","40","12","3","124","744","4","[{""commentLines"":1,""codeLines"":4,""blankLines"":1,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":260,""blankLines"":48,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":44,""blankLines"":23,""language"":""Markdown""},{""commentLines"":0,""codeLines"":12,""blankLines"":0,""language"":""YAML""},{""commentLines"":0,""codeLines"":15,""blankLines"":6,""language"":""CMake""},{""commentLines"":3,""codeLines"":409,""blankLines"":46,""language"":""C++""}]","2023-02-10T03:13:31","6d3acdb9ee452449b528ef3900ef5528dad0f807",true,false,false,false,"{""C++"":27586,""CMake"":518,""Dockerfile"":117}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix","3d;3d-graphics;c-plus-plus;computer-graphics;cpp;engine;fun;graphics;images;learning;opengl;picture;pixels;rasterizer;rendering;rendering-engine;rendering-pipeline;shaders;software-rendering;tutorial"
"3884336","microsoft/cntk",false,"16117","1074","32","4381","C++","master","Other","https://docs.microsoft.com/cognitive-toolkit/","1269","17332","190","935217","2015-11-26T09:52:06","2023-03-11T07:31:35","2023-03-25T11:03:27","3291","751","557","85","61656","362486","84325","[{""commentLines"":608,""codeLines"":4140,""blankLines"":1097,""language"":""Bourne Again Shell""},{""commentLines"":0,""codeLines"":164,""blankLines"":26,""language"":""HTML""},{""commentLines"":0,""codeLines"":1098,""blankLines"":0,""language"":""Mathematica""},{""commentLines"":64,""codeLines"":392,""blankLines"":52,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":790,""blankLines"":0,""language"":""JSON""},{""commentLines"":24996,""codeLines"":6647,""blankLines"":0,""language"":""Jupyter Notebook""},{""commentLines"":57,""codeLines"":219,""blankLines"":37,""language"":""Java""},{""commentLines"":103,""codeLines"":535,""blankLines"":92,""language"":""CMake""},{""commentLines"":218,""codeLines"":1466,""blankLines"":332,""language"":""make""},{""commentLines"":17799,""codeLines"":81138,""blankLines"":15407,""language"":""C/C++ Header""},{""commentLines"":44,""codeLines"":1685,""blankLines"":588,""language"":""reStructuredText""},{""commentLines"":1,""codeLines"":2447,""blankLines"":330,""language"":""TeX""},{""commentLines"":0,""codeLines"":69,""blankLines"":8,""language"":""Maven""},{""commentLines"":118,""codeLines"":455,""blankLines"":66,""language"":""Perl""},{""commentLines"":389,""codeLines"":2049,""blankLines"":594,""language"":""Bourne Shell""},{""commentLines"":88,""codeLines"":243,""blankLines"":40,""language"":""MATLAB""},{""commentLines"":18824,""codeLines"":52261,""blankLines"":14485,""language"":""Python""},{""commentLines"":0,""codeLines"":15,""blankLines"":0,""language"":""INI""},{""commentLines"":351,""codeLines"":3218,""blankLines"":540,""language"":""SWIG""},{""commentLines"":0,""codeLines"":40,""blankLines"":4,""language"":""XAML""},{""commentLines"":276,""codeLines"":2936,""blankLines"":670,""language"":""PowerShell""},{""commentLines"":29,""codeLines"":1183,""blankLines"":221,""language"":""DOS Batch""},{""commentLines"":337,""codeLines"":3329,""blankLines"":641,""language"":""YAML""},{""commentLines"":221,""codeLines"":278,""blankLines"":75,""language"":""Protocol Buffers""},{""commentLines"":14981,""codeLines"":113916,""blankLines"":20043,""language"":""C++""},{""commentLines"":0,""codeLines"":4674,""blankLines"":2496,""language"":""Markdown""},{""commentLines"":130,""codeLines"":51115,""blankLines"":86,""language"":""XML""},{""commentLines"":1731,""codeLines"":14943,""blankLines"":2433,""language"":""Cuda""},{""commentLines"":33,""codeLines"":88,""blankLines"":9,""language"":""Diff""},{""commentLines"":9,""codeLines"":3399,""blankLines"":9,""language"":""Visual Studio Solution""},{""commentLines"":78,""codeLines"":1617,""blankLines"":68,""language"":""MSBuild script""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""ASP.NET""},{""commentLines"":4,""codeLines"":16,""blankLines"":4,""language"":""Awk""},{""commentLines"":2836,""codeLines"":5919,""blankLines"":1203,""language"":""C#""}]","2022-09-23T02:06:50","10a8ffcf50d7b9225f3236ffcfdc422b2014fb92",true,false,false,false,"{""C++"":10906168,""Jupyter Notebook"":4765537,""Python"":2396698,""Cuda"":762435,""C#"":201374,""Shell"":173589,""SWIG"":167469,""Bikeshed"":133021,""PowerShell"":131647,""Makefile"":84671,""C"":62917,""Batchfile"":43142,""CMake"":35987,""Dockerfile"":21103,""Java"":12743,""Perl"":12728,""BrighterScript"":10390,""MATLAB"":2932,""HTML"":2164,""Awk"":675}","archive;area 1bitsgd;area build;area cross machine;area documentation;area gpu computation;area installation;area reader;area samples;area test;bug;call for contribution;dependencies;enhancement;feature request;help wanted;in progress;invalid;iteration plan;need more info;pull in progress;question;resolution answered;resolution by design;resolution duplicate;resolution external;resolution fixes;resolution not reproducable;resolution wont fix",""
"3885425","electronicarts/cnc_remastered_collection",false,"12","2","0","4323","C++","master","Other",,"508","16392","3","8432","2020-03-30T05:48:04","2022-12-08T11:20:03","2022-12-23T01:57:48","94","74","23","11","80066","360405","227986","[{""commentLines"":177795,""codeLines"":247670,""blankLines"":56185,""language"":""C++""},{""commentLines"":11,""codeLines"":141,""blankLines"":11,""language"":""Python""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""Markdown""},{""commentLines"":39556,""codeLines"":47426,""blankLines"":16224,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":536,""blankLines"":0,""language"":""MSBuild script""},{""commentLines"":480,""codeLines"":21360,""blankLines"":111,""language"":""XML""},{""commentLines"":2,""codeLines"":50,""blankLines"":2,""language"":""Visual Studio Solution""},{""commentLines"":46,""codeLines"":118,""blankLines"":38,""language"":""Windows Resource File""},{""commentLines"":10096,""codeLines"":43103,""blankLines"":7495,""language"":""C#""}]","2020-09-24T05:20:58","7d496e8a633a8bbf8a14b65f490b4d21fa32ca03",true,false,false,false,"{""C++"":23796963,""C#"":2527527,""C"":1014072,""Assembly"":606001,""Python"":7540,""Objective-C"":6158}","bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix",""
