"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3269726","subhra74/xdm",false,"497","24","5","1059","C#","master","GNU General Public License v2.0","https://xtremedownloadmanager.com/","120","5975","15","304146","2018-02-25T01:09:15","2024-01-23T01:08:10","2024-01-23T03:30:16","888","745","89","34","8080","103165","9609","[{""commentLines"":1,""codeLines"":221,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":41,""codeLines"":388,""blankLines"":79,""language"":""MSBuild script""},{""commentLines"":49,""codeLines"":703,""blankLines"":42,""language"":""XML""},{""commentLines"":2051,""codeLines"":12514,""blankLines"":2618,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":241,""blankLines"":99,""language"":""Markdown""},{""commentLines"":0,""codeLines"":24,""blankLines"":5,""language"":""YAML""},{""commentLines"":0,""codeLines"":321,""blankLines"":1,""language"":""SVG""},{""commentLines"":6434,""codeLines"":37828,""blankLines"":4805,""language"":""C#""},{""commentLines"":50,""codeLines"":9609,""blankLines"":0,""language"":""Glade""},{""commentLines"":57,""codeLines"":803,""blankLines"":40,""language"":""WiX source""},{""commentLines"":821,""codeLines"":4097,""blankLines"":100,""language"":""XAML""},{""commentLines"":0,""codeLines"":27911,""blankLines"":0,""language"":""JSON""},{""commentLines"":18,""codeLines"":337,""blankLines"":100,""language"":""Bourne Again Shell""},{""commentLines"":54,""codeLines"":7611,""blankLines"":52,""language"":""CSS""},{""commentLines"":32,""codeLines"":475,""blankLines"":101,""language"":""HTML""},{""commentLines"":1,""codeLines"":82,""blankLines"":37,""language"":""DOS Batch""}]","2023-06-19T05:34:16","1ca5a25aae007826c859c81bea494e7c102e1242",true,false,false,false,"{""C#"":1818536,""Java"":986167,""JavaScript"":197493,""Rich Text Format"":40358,""HTML"":17193,""Shell"":11346,""CSS"":11037,""Go"":8049,""Batchfile"":4142}","bug;dependencies;duplicate;enhancement;good first issue;help wanted;invalid;question;translations;wontfix","chrome;download-accelerator;download-manager;downloader;firefox;java;linux;macosx;media-converter;streaming-video;video-converter;video-downloader;windows"
"3436472","klocman/bulk-crap-uninstaller",false,"1560","3","65","551","C#","master","Apache License 2.0","https://www.bcuninstaller.com/","92","10928","29","10790","2016-08-01T03:17:05","2024-09-02T08:38:13","2024-09-03T02:26:24","478","78","95","2","23667","220018","71494","[{""commentLines"":6,""codeLines"":9,""blankLines"":1,""language"":""C/C++ Header""},{""commentLines"":37,""codeLines"":53,""blankLines"":12,""language"":""YAML""},{""commentLines"":0,""codeLines"":20,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":92,""blankLines"":34,""language"":""Markdown""},{""commentLines"":75,""codeLines"":524,""blankLines"":56,""language"":""INI""},{""commentLines"":14,""codeLines"":58,""blankLines"":35,""language"":""DOS Batch""},{""commentLines"":29,""codeLines"":59,""blankLines"":22,""language"":""Windows Resource File""},{""commentLines"":13,""codeLines"":118,""blankLines"":24,""language"":""C++""},{""commentLines"":0,""codeLines"":183,""blankLines"":38,""language"":""Text""},{""commentLines"":2170,""codeLines"":4696,""blankLines"":818,""language"":""C# Generated""},{""commentLines"":27620,""codeLines"":68804,""blankLines"":12702,""language"":""C#""},{""commentLines"":1,""codeLines"":320,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":0,""codeLines"":1225,""blankLines"":0,""language"":""MSBuild script""},{""commentLines"":50,""codeLines"":195,""blankLines"":9,""language"":""C# Designer""},{""commentLines"":41461,""codeLines"":143489,""blankLines"":9913,""language"":""XML""},{""commentLines"":12,""codeLines"":42,""blankLines"":2,""language"":""Diff""},{""commentLines"":6,""codeLines"":131,""blankLines"":0,""language"":""HTML""}]","2024-09-02T08:38:13","8fb10eb3621b9a1766f6c79d7817d57d984ae3c5",true,false,false,false,"{""C#"":3764210,""Inno Setup"":122881,""PowerShell"":18894,""C++"":5200,""Batchfile"":3658,""C"":439}","automatization;bug;cant-reproduce;dependencies;duplicate;enhancement;good first issue;help wanted;invalid;junk/app detection;low priority;question;wontfix","application-manager;application-uninstaller;bloatware;bulk-actions;bulk-uninstall;cleaner;debloat;disk-space;inno-setup;msi;nsis;portableapps;software-management;unattended-uninstall;uninstall;uninstaller;windows;windows-10;windows-forms"
"3439305","nancyfx/nancy",false,"5476","4","48","1504","C#","master","MIT License","http://nancyfx.org","449","7141","277","45465","2010-06-24T07:35:22","2021-01-24T01:28:09","2021-01-24T09:30:27","1332","196","1679","26","17728","81033","23849","[{""commentLines"":0,""codeLines"":13,""blankLines"":1,""language"":""Visual Basic""},{""commentLines"":0,""codeLines"":415,""blankLines"":20,""language"":""XSLT""},{""commentLines"":142,""codeLines"":2283,""blankLines"":381,""language"":""JavaScript""},{""commentLines"":133,""codeLines"":3507,""blankLines"":51,""language"":""MSBuild script""},{""commentLines"":246,""codeLines"":1150,""blankLines"":103,""language"":""XML""},{""commentLines"":23216,""codeLines"":69867,""blankLines"":16607,""language"":""C#""},{""commentLines"":18,""codeLines"":38,""blankLines"":11,""language"":""Bourne Shell""},{""commentLines"":1,""codeLines"":610,""blankLines"":0,""language"":""Visual Studio Solution""},{""commentLines"":9,""codeLines"":580,""blankLines"":60,""language"":""Razor""},{""commentLines"":0,""codeLines"":117,""blankLines"":13,""language"":""Liquid""},{""commentLines"":31,""codeLines"":756,""blankLines"":115,""language"":""CSS""},{""commentLines"":0,""codeLines"":951,""blankLines"":107,""language"":""HTML""},{""commentLines"":0,""codeLines"":40,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":38,""blankLines"":13,""language"":""YAML""},{""commentLines"":0,""codeLines"":372,""blankLines"":178,""language"":""Markdown""},{""commentLines"":41,""codeLines"":240,""blankLines"":51,""language"":""Cake Build Script""},{""commentLines"":12,""codeLines"":56,""blankLines"":17,""language"":""PowerShell""}]","2020-04-26T04:10:26","e523defb12f5ea3ec7b7129ed2b4aaf70aebed2f",true,true,false,false,,"",""
"3440774","app-vnext/polly",false,"2224","8","48","1224","C#","main","BSD 3-Clause New or Revised License","https://www.thepollyproject.org","353","13348","101","38608","2013-05-05T04:40:04","2024-10-01T01:40:29","2024-10-02T08:20:23","783","7","1501","6","19932","80795","15457","[{""commentLines"":13,""codeLines"":33,""blankLines"":10,""language"":""Visual Basic .NET""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""SVG""},{""commentLines"":14981,""codeLines"":67813,""blankLines"":17255,""language"":""C#""},{""commentLines"":11,""codeLines"":43,""blankLines"":9,""language"":""F#""},{""commentLines"":0,""codeLines"":248,""blankLines"":0,""language"":""JSON""},{""commentLines"":3,""codeLines"":388,""blankLines"":33,""language"":""XML""},{""commentLines"":34,""codeLines"":166,""blankLines"":55,""language"":""PowerShell""},{""commentLines"":0,""codeLines"":4,""blankLines"":1,""language"":""DOS Batch""},{""commentLines"":2,""codeLines"":238,""blankLines"":2,""language"":""Visual Studio Solution""},{""commentLines"":1,""codeLines"":408,""blankLines"":54,""language"":""MSBuild script""},{""commentLines"":0,""codeLines"":49,""blankLines"":13,""language"":""INI""},{""commentLines"":368,""codeLines"":7970,""blankLines"":2187,""language"":""Markdown""},{""commentLines"":0,""codeLines"":1793,""blankLines"":2,""language"":""Text""},{""commentLines"":32,""codeLines"":204,""blankLines"":53,""language"":""Cake Build Script""},{""commentLines"":12,""codeLines"":1428,""blankLines"":258,""language"":""YAML""},{""commentLines"":0,""codeLines"":9,""blankLines"":0,""language"":""JavaScript""}]","2024-10-01T01:40:29","74ac188ba7632c96f66627299c83b20999f77155",true,false,false,false,"{""C#"":4222432,""PowerShell"":6603,""Batchfile"":128}",".net;advanced;announcement;aot;awaiting further info/feedback;breaking change;bug;bug fix;cannot reproduce;ci/build;code styling clean-ups;community feedback wanted;configuration feature;dependencies;discoverability;documentation;duplicate;edge-case bug;enhancement;external;feature;feature suggestion;github_actions;hackathon;hacktoberfest;help wanted;how-to;in progress;incomplete feature;is documented / intended / expected behaviour;major project/rewrite;metrics;on-nuget-in-alpha;packaging;performance;polly-contrib?;question;ready;security;simmy;stale;target frameworks;undiagnosed user issue;unit-testing;up-for-grabs;v5.0-alpha ready;v5.x;v8;wontfix;wontimplement","circuit-breaker;circuit-breaker-pattern;dotnet;fault-handler;resilience;resiliency-patterns;retry-strategies;transient-fault-handling"
"3445190","mob-sakai/uieffect",false,"10","8","50","721","C#","upm","MIT License","https://github.com/mob-sakai/UIEffect","223","5079","1","50129","2017-02-27T01:49:29","2023-11-09T10:05:13","2024-01-03T07:37:07","235","69","26","6","1076","4355","885","[{""commentLines"":863,""codeLines"":3111,""blankLines"":563,""language"":""C#""},{""commentLines"":0,""codeLines"":543,""blankLines"":363,""language"":""Markdown""},{""commentLines"":21,""codeLines"":662,""blankLines"":149,""language"":""HLSL""},{""commentLines"":1,""codeLines"":10,""blankLines"":1,""language"":""YAML""},{""commentLines"":0,""codeLines"":29,""blankLines"":0,""language"":""JSON""}]","2023-11-09T08:50:33","332340e7bc2f8257816dd28784607a1edf6b6c2a",false,false,false,false,"{""C#"":143969,""ShaderLab"":9815,""HLSL"":9709}","backwards-incompatible;bug;change;duplicate;enhancement;help wanted;invalid;meta: exclude from changelog;question;release-summary;released on @preview;wontfix","background;blur;component;effect;grayscale;sepia;shader;ugui;ui;unity;unity3d"
"3445191","gibbed/steamachievementmanager",false,"70","1","13","692","C#","master","zlib License",,"110","5513","6","187","2017-11-08T02:25:16","2024-09-20T10:13:03","2024-09-25T09:11:30","386","185","21","3","663","5098","1651","[{""commentLines"":0,""codeLines"":149,""blankLines"":0,""language"":""MSBuild script""},{""commentLines"":1372,""codeLines"":4157,""blankLines"":559,""language"":""C#""},{""commentLines"":82,""codeLines"":136,""blankLines"":28,""language"":""C# Generated""},{""commentLines"":0,""codeLines"":16,""blankLines"":6,""language"":""Text""},{""commentLines"":0,""codeLines"":39,""blankLines"":13,""language"":""YAML""},{""commentLines"":0,""codeLines"":12,""blankLines"":8,""language"":""Markdown""},{""commentLines"":1,""codeLines"":35,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":196,""codeLines"":554,""blankLines"":48,""language"":""XML""}]","2024-09-20T10:12:57","ac5e1a0c2844d3c37b887ae3dc38d0401c95593e",false,false,false,false,"{""C#"":248944}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","steam;steam-api;tool"
"3446873","mathewsachin/captura",false,"1121","18","27","1598","C#","master","MIT License","https://mathewsachin.github.io/Captura/","215","8318","46","5730","2015-08-29T10:30:45","2023-04-09T02:52:52","2023-04-12T01:05:19","290","109","242","11","6984","37210","1225","[{""commentLines"":2,""codeLines"":91,""blankLines"":8,""language"":""XML""},{""commentLines"":0,""codeLines"":309,""blankLines"":4,""language"":""MSBuild script""},{""commentLines"":0,""codeLines"":6953,""blankLines"":69,""language"":""JSON""},{""commentLines"":1,""codeLines"":131,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":11,""codeLines"":5196,""blankLines"":475,""language"":""XAML""},{""commentLines"":1112,""codeLines"":23542,""blankLines"":6033,""language"":""C#""},{""commentLines"":0,""codeLines"":8,""blankLines"":1,""language"":""PowerShell""},{""commentLines"":2,""codeLines"":80,""blankLines"":13,""language"":""YAML""},{""commentLines"":0,""codeLines"":753,""blankLines"":315,""language"":""Markdown""},{""commentLines"":97,""codeLines"":147,""blankLines"":65,""language"":""Cake Build Script""}]","2020-05-13T12:52:44","b0cc46780b18335021305558d8fc944de04b2b9e",false,true,false,false,"{""C#"":893433,""Inno Setup"":2248,""PowerShell"":327}","bug;cannot reproduce;dependencies;duplicate;enhancement;feedback wanted;good first issue;hacktoberfest;help wanted;invalid;priority: high;priority: low;question;status: in progress;translation",""
"3447796","microsoft/ailab",false,"138","32","1","1390","C#","master","MIT License","https://www.ailab.microsoft.com/experiments/","427","7664","44","103614","2018-07-23T10:40:54","2024-06-26T07:42:37","2024-06-26T07:42:40","53","28","115","55","21112","266014","21422","[{""commentLines"":0,""codeLines"":17,""blankLines"":0,""language"":""Dockerfile""},{""commentLines"":4,""codeLines"":2852,""blankLines"":1026,""language"":""Markdown""},{""commentLines"":26,""codeLines"":1909,""blankLines"":295,""language"":""HTML""},{""commentLines"":1266,""codeLines"":12071,""blankLines"":1976,""language"":""CSS""},{""commentLines"":12,""codeLines"":122,""blankLines"":11,""language"":""YAML""},{""commentLines"":9,""codeLines"":525,""blankLines"":5,""language"":""Visual Studio Solution""},{""commentLines"":28,""codeLines"":2673,""blankLines"":18,""language"":""MSBuild script""},{""commentLines"":14096,""codeLines"":32658,""blankLines"":7906,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":64,""blankLines"":14,""language"":""Text""},{""commentLines"":348,""codeLines"":3978,""blankLines"":118,""language"":""XML""},{""commentLines"":0,""codeLines"":27,""blankLines"":4,""language"":""PowerShell""},{""commentLines"":17,""codeLines"":60,""blankLines"":24,""language"":""DOS Batch""},{""commentLines"":557,""codeLines"":15375,""blankLines"":764,""language"":""XAML""},{""commentLines"":25,""codeLines"":1121,""blankLines"":239,""language"":""SCSS""},{""commentLines"":210,""codeLines"":5288,""blankLines"":727,""language"":""TypeScript""},{""commentLines"":518,""codeLines"":3390,""blankLines"":871,""language"":""Python""},{""commentLines"":4204,""codeLines"":34888,""blankLines"":6362,""language"":""C#""},{""commentLines"":0,""codeLines"":34,""blankLines"":10,""language"":""Bourne Shell""},{""commentLines"":45,""codeLines"":2150,""blankLines"":434,""language"":""Razor""},{""commentLines"":1,""codeLines"":327,""blankLines"":4,""language"":""SVG""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""ASP.NET""},{""commentLines"":25,""codeLines"":1121,""blankLines"":239,""language"":""Sass""},{""commentLines"":0,""codeLines"":115886,""blankLines"":0,""language"":""CSV""},{""commentLines"":23,""codeLines"":282,""blankLines"":54,""language"":""C++""},{""commentLines"":0,""codeLines"":29173,""blankLines"":2,""language"":""JSON""},{""commentLines"":8,""codeLines"":22,""blankLines"":9,""language"":""CMake""}]","2024-06-26T07:42:37","89fe2fc62081145ec5408d42059cbcb7c4a033c8",true,false,false,false,"{""C#"":1472530,""JavaScript"":271713,""HTML"":208325,""TypeScript"":177750,""Python"":156054,""CSS"":70515,""SCSS"":23484,""C++"":12464,""Batchfile"":2703,""Ink"":2543,""Dockerfile"":1538,""CMake"":1474,""PowerShell"":1386,""Shell"":1180,""ASP.NET"":106,""ASP"":106}",".net;bug;dependencies;duplicate;enhancement;good first issue;help wanted;invalid;javascript;question;wontfix","ai;algorithms;azure-functions;bing-search;bot;computer-vision;csharp;custom-vision;dnn;html5;image-classification;iot;javascript;language-learning;luis;object-detection;ocr;translation"
"3449753","aalhour/c-sharp-algorithms",false,"762","5","1","1362","C#","master","MIT License",,"369","5569","28","3345","2015-05-14T11:56:48","2023-08-04T08:34:48","2023-08-09T07:37:29","76","36","94","13","5182","20076","6089","[{""commentLines"":1,""codeLines"":85,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":1,""codeLines"":35,""blankLines"":5,""language"":""MSBuild script""},{""commentLines"":0,""codeLines"":5,""blankLines"":0,""language"":""DOS Batch""},{""commentLines"":0,""codeLines"":1002,""blankLines"":0,""language"":""CSV""},{""commentLines"":6087,""codeLines"":18470,""blankLines"":5013,""language"":""C#""},{""commentLines"":0,""codeLines"":42,""blankLines"":4,""language"":""YAML""},{""commentLines"":0,""codeLines"":417,""blankLines"":159,""language"":""Markdown""},{""commentLines"":0,""codeLines"":20,""blankLines"":0,""language"":""XML""}]","2020-05-27T08:04:35","504140eb7e608bb9dffa8729345f9cd8d476bbcb",true,false,false,false,"{""C#"":969018,""Batchfile"":176}","algorithm request;bug;data structure request;duplicate;feature;good first issue;help wanted;invalid;on hold;optimization;question;waiting for feedback;wontfix","algorithms;binary-trees;csharp;data-structures;graph;graph-algorithms;hashing;hashing-algorithms;heaps;queues;searching;searching-algorithms;sorting;sorting-algorithms;tree;tree-algorithms"
"3450810","mxgmn/wavefunctioncollapse",false,"151","2","1","1212","C#","master","Other",,"502","22844","18","31145","2016-09-30T11:53:17","2024-05-30T11:24:41","2024-05-31T06:42:34","49","3","41","2","154","1704","13","[{""commentLines"":8,""codeLines"":187,""blankLines"":32,""language"":""Markdown""},{""commentLines"":0,""codeLines"":24,""blankLines"":4,""language"":""MSBuild script""},{""commentLines"":5,""codeLines"":662,""blankLines"":104,""language"":""C#""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""YAML""},{""commentLines"":0,""codeLines"":830,""blankLines"":14,""language"":""XML""}]","2024-04-29T10:16:53","05847f2d782a1cae6d1a6d0e52371b7625896abc",true,false,false,false,"{""C#"":26953}","bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix","algorithm;csharp;gamedev;machine-learning;procedural-generation;wfc"
