"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3950733","space-physics/iri2016",false,"242","1","20","33","Fortran","main","MIT License","http://irimodel.org/","11","62","1","5735","2018-02-27T04:08:53","2024-01-14T09:03:22","2024-04-07T02:09:06","35","17","3","2","1969","44206","6547","[{""commentLines"":6316,""codeLines"":42500,""blankLines"":1425,""language"":""Fortran 77""},{""commentLines"":36,""codeLines"":83,""blankLines"":40,""language"":""Fortran 90""},{""commentLines"":37,""codeLines"":15,""blankLines"":0,""language"":""Jupyter Notebook""},{""commentLines"":5,""codeLines"":185,""blankLines"":46,""language"":""YAML""},{""commentLines"":0,""codeLines"":63,""blankLines"":34,""language"":""Markdown""},{""commentLines"":0,""codeLines"":18,""blankLines"":5,""language"":""Text""},{""commentLines"":1,""codeLines"":17,""blankLines"":9,""language"":""CMake""},{""commentLines"":0,""codeLines"":33,""blankLines"":5,""language"":""TOML""},{""commentLines"":38,""codeLines"":443,""blankLines"":140,""language"":""MATLAB""},{""commentLines"":114,""codeLines"":849,""blankLines"":265,""language"":""Python""}]","2024-01-14T09:02:40","ca523ad80d22c25e95ecb2f95d37094cb7adb035",true,false,false,false,"{""Fortran"":49368,""Python"":40457,""MATLAB"":14871,""CMake"":617,""M"":70}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","build-on-run;ionosphere;ionosphere-modeling;matlab-python-interface"
"50704439","jiweiqi/collectionofmechanisms",false,"101","1","0","37","Fortran","master","MIT License",,"9","82","5","20324","2018-12-14T06:55:32","2022-01-06T04:02:08","2024-03-28T08:50:02","4","0","10","1","51872","929014","52129","[{""commentLines"":51705,""codeLines"":722698,""blankLines"":51705,""language"":""XML""},{""commentLines"":0,""codeLines"":128,""blankLines"":47,""language"":""Markdown""},{""commentLines"":6,""codeLines"":195576,""blankLines"":120,""language"":""YAML""},{""commentLines"":418,""codeLines"":10612,""blankLines"":0,""language"":""Fortran 77""}]","2022-01-06T04:02:08","6022ad25967b63e68f5780defb9e0118c0d2c1a4",true,false,false,false,"{""Python"":6630456,""Fortran"":402050,""PowerShell"":8834,""Shell"":3658,""Roff"":353}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","cantera;chemkin;combustion;combustion-reaction-mechanisms;yaml"
"55681818","tinkertools/tinker",false,"1047","14","0","61","Fortran","release","Other","https://dasher.wustl.edu/tinker/","27","130","11","127178","2013-06-23T06:58:21","2024-09-22T08:48:46","2024-09-22T08:48:50","96","2","56","2","28534","598907","127337","[{""commentLines"":5,""codeLines"":56,""blankLines"":14,""language"":""Bourne Again Shell""},{""commentLines"":0,""codeLines"":1046,""blankLines"":6,""language"":""Text""},{""commentLines"":23676,""codeLines"":260110,""blankLines"":12437,""language"":""C""},{""commentLines"":364,""codeLines"":10307,""blankLines"":1151,""language"":""M4""},{""commentLines"":0,""codeLines"":44,""blankLines"":6,""language"":""Objective-C""},{""commentLines"":4838,""codeLines"":12269,""blankLines"":2083,""language"":""HTML""},{""commentLines"":1112,""codeLines"":975,""blankLines"":290,""language"":""Python""},{""commentLines"":20,""codeLines"":160,""blankLines"":37,""language"":""Cuda""},{""commentLines"":180,""codeLines"":2093,""blankLines"":339,""language"":""Perl""},{""commentLines"":5504,""codeLines"":30785,""blankLines"":5078,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":96,""blankLines"":51,""language"":""Markdown""},{""commentLines"":403,""codeLines"":4967,""blankLines"":442,""language"":""make""},{""commentLines"":3231,""codeLines"":6097,""blankLines"":751,""language"":""TeX""},{""commentLines"":9352,""codeLines"":21695,""blankLines"":3976,""language"":""C/C++ Header""},{""commentLines"":17,""codeLines"":1171,""blankLines"":115,""language"":""CMake""},{""commentLines"":211,""codeLines"":4282,""blankLines"":692,""language"":""C++""},{""commentLines"":1572,""codeLines"":5446,""blankLines"":1043,""language"":""OCaml""},{""commentLines"":94,""codeLines"":1403,""blankLines"":0,""language"":""DOS Batch""},{""commentLines"":76758,""codeLines"":235905,""blankLines"":23,""language"":""Fortran 77""}]","2024-09-22T08:48:29","242c2a116dd578b1d39601a4a093c5ebdb316837",true,false,false,false,"{""Fortran"":10793552,""C"":9978402,""Makefile"":2207714,""TeX"":323102,""C++"":299169,""OCaml"":254785,""Batchfile"":92482,""Python"":81737,""HTML"":48549,""Perl"":46042,""Roff"":29770,""M4"":27359,""Raku"":24889,""CMake"":22598,""Shell"":14431}","bug;duplicate;enhancement;invalid;question;wontfix","biomolecular-simulation;force-fields;molecular-dynamics;molecular-mechanics;molecular-modeling"
"70572725","esmf-org/esmf",false,"27570","110","13","75","Fortran","develop","Other","https://earthsystemmodeling.org/","20","156","42","156453","2020-02-03T05:42:01","2024-09-25T06:04:04","2024-09-24T08:26:41","134","67","149","11","261855","1132879","441567","[{""commentLines"":28,""codeLines"":14,""blankLines"":14,""language"":""Awk""},{""commentLines"":0,""codeLines"":439,""blankLines"":61,""language"":""M4""},{""commentLines"":35701,""codeLines"":106080,""blankLines"":22281,""language"":""C""},{""commentLines"":5341,""codeLines"":10287,""blankLines"":3115,""language"":""Python""},{""commentLines"":342,""codeLines"":1426,""blankLines"":492,""language"":""reStructuredText""},{""commentLines"":0,""codeLines"":1202,""blankLines"":523,""language"":""Markdown""},{""commentLines"":143,""codeLines"":2479,""blankLines"":187,""language"":""YAML""},{""commentLines"":20,""codeLines"":22,""blankLines"":12,""language"":""PHP""},{""commentLines"":454,""codeLines"":582,""blankLines"":107,""language"":""C Shell""},{""commentLines"":0,""codeLines"":252,""blankLines"":12,""language"":""XSLT""},{""commentLines"":0,""codeLines"":1396,""blankLines"":258,""language"":""Windows Resource File""},{""commentLines"":10,""codeLines"":103,""blankLines"":19,""language"":""XSD""},{""commentLines"":1033,""codeLines"":3683,""blankLines"":645,""language"":""CMake""},{""commentLines"":97427,""codeLines"":344337,""blankLines"":74615,""language"":""C++""},{""commentLines"":0,""codeLines"":7185,""blankLines"":0,""language"":""HTML""},{""commentLines"":82,""codeLines"":108,""blankLines"":27,""language"":""Bourne Again Shell""},{""commentLines"":213290,""codeLines"":411489,""blankLines"":100438,""language"":""Fortran 90""},{""commentLines"":0,""codeLines"":7,""blankLines"":0,""language"":""JSON""},{""commentLines"":69,""codeLines"":1708,""blankLines"":392,""language"":""Fortran 77""},{""commentLines"":2131,""codeLines"":482,""blankLines"":0,""language"":""Jupyter Notebook""},{""commentLines"":38,""codeLines"":948,""blankLines"":197,""language"":""CSS""},{""commentLines"":406,""codeLines"":356,""blankLines"":169,""language"":""Korn Shell""},{""commentLines"":72254,""codeLines"":151326,""blankLines"":39567,""language"":""C/C++ Header""},{""commentLines"":6582,""codeLines"":17732,""blankLines"":6015,""language"":""make""},{""commentLines"":48,""codeLines"":5399,""blankLines"":653,""language"":""Jinja Template""},{""commentLines"":0,""codeLines"":64,""blankLines"":13,""language"":""Pascal""},{""commentLines"":125,""codeLines"":12111,""blankLines"":185,""language"":""XML""},{""commentLines"":2548,""codeLines"":16271,""blankLines"":2988,""language"":""Bourne Shell""},{""commentLines"":1702,""codeLines"":5698,""blankLines"":1014,""language"":""Perl""},{""commentLines"":7,""codeLines"":37,""blankLines"":6,""language"":""TOML""},{""commentLines"":0,""codeLines"":1822,""blankLines"":524,""language"":""Text""},{""commentLines"":1786,""codeLines"":27834,""blankLines"":7326,""language"":""TeX""}]","2024-09-23T12:21:07","e84ae5b02edfbe62be9dd9ce6b9db48c5c4dbf6f",true,false,false,false,"{""Fortran"":27221615,""C++"":26145922,""C"":6911768,""PostScript"":2899655,""Jupyter Notebook"":2756501,""TeX"":1768865,""Makefile"":942336,""Python"":732779,""Perl"":286366,""Jinja"":224716,""HTML"":212304,""CMake"":194860,""Shell"":137857,""Pawn"":58359,""CSS"":20353,""M4"":19727,""BitBake"":19350,""Roff"":14282,""XSLT"":9390,""Pascal"":4767,""Assembly"":4002,""Awk"":1284,""NewLisp"":491}","32-bit limit;ESMPy;ESMX;TimeMgr;bug;closed: can't reproduce;closed: duplicate;closed: wontfix;crb;documentation;enhancement;i/o;investigation;mbmesh;nuopc;performance;porting;product: c library;question;source: discussions;threading & resource control;who: DoE;who: ESMF_Core;who: NASA;who: NCAR;who: NOAA;who: NRL;who: Other Government;who: Private Company;who: University;who: navy;who: unknown;who: xESMF",""
"94716025","codee-com/open-catalog",false,"105","2","0","7","Fortran","main","Apache License 2.0",,"7","80","7","567","2024-01-25T09:45:02","2024-09-19T07:57:17","2024-09-19T02:00:43","5","2","31","1","6194","28655","3292","[{""commentLines"":279,""codeLines"":2123,""blankLines"":334,""language"":""Python""},{""commentLines"":100,""codeLines"":602,""blankLines"":108,""language"":""C""},{""commentLines"":0,""codeLines"":41,""blankLines"":9,""language"":""TOML""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""Text""},{""commentLines"":11,""codeLines"":205,""blankLines"":26,""language"":""Starlark""},{""commentLines"":8,""codeLines"":63,""blankLines"":14,""language"":""Bourne Shell""},{""commentLines"":1056,""codeLines"":2521,""blankLines"":709,""language"":""C/C++ Header""},{""commentLines"":36,""codeLines"":739,""blankLines"":108,""language"":""YAML""},{""commentLines"":10,""codeLines"":8557,""blankLines"":2644,""language"":""Markdown""},{""commentLines"":1426,""codeLines"":10729,""blankLines"":1704,""language"":""C++""},{""commentLines"":7,""codeLines"":186,""blankLines"":22,""language"":""Bazel""},{""commentLines"":168,""codeLines"":1077,""blankLines"":192,""language"":""CMake""},{""commentLines"":190,""codeLines"":1194,""blankLines"":311,""language"":""Fortran 90""},{""commentLines"":0,""codeLines"":595,""blankLines"":8,""language"":""JSON""},{""commentLines"":1,""codeLines"":21,""blankLines"":5,""language"":""Fortran 77""}]","2024-09-19T06:59:42","8041135fa8107ff998078a86897c5256a513b2b2",false,false,false,false,"{""Fortran"":46869,""C++"":25571,""C"":19679,""Python"":7271,""CMake"":6396,""Shell"":1254}","bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","c;cpu;fortran;gpu;performance"
"95024624","certik/fortran-utils",false,"85","1","0","67","Fortran","master","MIT License",,"30","202","5","202","2012-01-20T11:44:49","2019-10-16T01:16:56","2024-03-26T03:10:17","12","3","20","1","772","9293","3369","[{""commentLines"":1237,""codeLines"":3805,""blankLines"":689,""language"":""Fortran 90""},{""commentLines"":16,""codeLines"":276,""blankLines"":71,""language"":""CMake""},{""commentLines"":0,""codeLines"":12,""blankLines"":0,""language"":""YAML""},{""commentLines"":0,""codeLines"":31,""blankLines"":11,""language"":""reStructuredText""},{""commentLines"":2116,""codeLines"":5162,""blankLines"":0,""language"":""Fortran 77""},{""commentLines"":0,""codeLines"":7,""blankLines"":1,""language"":""Python""}]","2019-10-16T01:16:55","b43bd24cd421509a5bc6d3b9c3eeae8ce856ed88",true,false,false,false,"{""Fortran"":457215,""CMake"":10776,""Python"":135}","",""
"95024634","LHEEA/HOS-ocean",false,"81","1","7","34","Fortran","master","GNU General Public License v3.0",,"22","69","3","346","2014-11-18T10:12:23","2024-06-08T11:29:16","2024-06-08T11:29:20","22","11","6","1","716","12017","5792","[{""commentLines"":173,""codeLines"":601,""blankLines"":117,""language"":""CMake""},{""commentLines"":40,""codeLines"":118,""blankLines"":38,""language"":""make""},{""commentLines"":27,""codeLines"":121,""blankLines"":13,""language"":""YAML""},{""commentLines"":0,""codeLines"":553,""blankLines"":121,""language"":""Text""},{""commentLines"":10,""codeLines"":18,""blankLines"":4,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":5,""blankLines"":2,""language"":""Markdown""},{""commentLines"":5542,""codeLines"":10601,""blankLines"":421,""language"":""Fortran 90""}]","2024-06-08T11:28:56","fbaa6ed8b4d9e9f1d1d5dbf561972690c9aec994",true,false,false,false,"{""Fortran"":597584,""CMake"":31683,""Makefile"":6115,""Dockerfile"":650}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"95025027","ylikx/forpy",false,"65","2","0","51","Fortran","master","GNU Lesser General Public License v3.0",,"18","203","4","1516","2018-05-11T05:06:03","2020-07-04T09:41:57","2024-03-11T09:09:22","43","16","4","1","3298","12433","2266","[{""commentLines"":1532,""codeLines"":9789,""blankLines"":2446,""language"":""Fortran 90""},{""commentLines"":0,""codeLines"":35,""blankLines"":9,""language"":""Pascal""},{""commentLines"":0,""codeLines"":674,""blankLines"":238,""language"":""Markdown""},{""commentLines"":16,""codeLines"":66,""blankLines"":22,""language"":""make""},{""commentLines"":718,""codeLines"":1869,""blankLines"":583,""language"":""Python""}]","2020-07-04T09:41:37","b4fc550c7282ed0751d6559c4d867a60af3718a7",true,false,false,false,"{""Fortran"":436002,""Python"":114825,""Makefile"":2941,""C++"":1416}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","fortran;fortran-library;fortran2003;interoperability;language-bindings;numpy;python"
"95025029","daoudclarke/wartonlegacy",false,"14","1","0","8","Fortran","master","GNU General Public License v3.0",,"5","152","1","164947","2011-12-24T12:36:58","2020-04-08T01:12:19","2024-01-06T10:46:50","1","1","2","1","51090","316126","8235","[{""commentLines"":8235,""codeLines"":315981,""blankLines"":50999,""language"":""Fortran 90""},{""commentLines"":0,""codeLines"":121,""blankLines"":89,""language"":""Markdown""},{""commentLines"":0,""codeLines"":24,""blankLines"":2,""language"":""DOS Batch""}]","2020-04-08T01:12:18","e2cbbafe50f065492a3d5aeb843894ab02783469",true,false,false,false,"{""Fortran"":8590492,""Shell"":23038,""Batchfile"":703}","",""
"95025031","lesgo-jhu/lesgo",false,"2500","32","3","66","Fortran","master","GNU General Public License v3.0","https://lesgo.me.jhu.edu","27","119","8","16300","2015-04-10T06:19:45","2021-01-29T07:15:16","2024-04-15T09:22:27","11","3","4","1","6694","21870","8675","[{""commentLines"":195,""codeLines"":1257,""blankLines"":107,""language"":""Python""},{""commentLines"":2,""codeLines"":11,""blankLines"":3,""language"":""YAML""},{""commentLines"":0,""codeLines"":837,""blankLines"":228,""language"":""Markdown""},{""commentLines"":4,""codeLines"":7,""blankLines"":3,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":344,""blankLines"":5,""language"":""Text""},{""commentLines"":6,""codeLines"":47,""blankLines"":7,""language"":""HTML""},{""commentLines"":20,""codeLines"":263,""blankLines"":26,""language"":""Bourne Again Shell""},{""commentLines"":8043,""codeLines"":17295,""blankLines"":5920,""language"":""Fortran 90""},{""commentLines"":127,""codeLines"":781,""blankLines"":153,""language"":""MATLAB""},{""commentLines"":278,""codeLines"":1028,""blankLines"":242,""language"":""CMake""}]","2021-01-29T07:13:21","b4b64d65f9367db4a3123cde99ed4be2c7cd4e1f",false,false,false,false,"{""Fortran"":1015061,""CMake"":66667,""Python"":65766,""MATLAB"":28468,""Shell"":9475,""C++"":8420}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix","cfd;fortran;les;linux;macos"
