"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"9528","facebook/facebook-android-sdk",false,"2922","31","57","3652","Kotlin","main","Other","https://developers.facebook.com/docs/android","686","6135","123","33199","2010-05-10T05:17:33","2024-10-01T08:52:06","2024-10-01T08:52:14","677","117","499","5","10671","77871","14099","[{""commentLines"":155,""codeLines"":938,""blankLines"":279,""language"":""Gradle""},{""commentLines"":0,""codeLines"":259,""blankLines"":73,""language"":""Text""},{""commentLines"":5,""codeLines"":203,""blankLines"":4,""language"":""YAML""},{""commentLines"":2,""codeLines"":20,""blankLines"":1,""language"":""Properties""},{""commentLines"":20,""codeLines"":125,""blankLines"":19,""language"":""Bourne Again Shell""},{""commentLines"":1,""codeLines"":620,""blankLines"":268,""language"":""Markdown""},{""commentLines"":558,""codeLines"":2692,""blankLines"":323,""language"":""XML""},{""commentLines"":84,""codeLines"":263,""blankLines"":69,""language"":""Bourne Shell""},{""commentLines"":11815,""codeLines"":67878,""blankLines"":8785,""language"":""Kotlin""},{""commentLines"":2,""codeLines"":64,""blankLines"":24,""language"":""DOS Batch""},{""commentLines"":229,""codeLines"":93,""blankLines"":58,""language"":""ProGuard""},{""commentLines"":1228,""codeLines"":4716,""blankLines"":768,""language"":""Java""}]","2024-10-01T08:24:46","0b43e98dc38fdc6d68560ca9859defea08707ef8",false,false,false,false,"{""Kotlin"":3161284,""Java"":231193,""Shell"":7277,""AIDL"":323}","acknowledged;bug;bugs;cla signed;duplicate;enhancement;fb-exported;fh:direct-merge-enabled;fixed;invalid;merged;needs repro;needs-info;needs-triage;response-started;stale;triaged;waiting-for-response;wip;wontfix",""
"88718","signalapp/signal-android",false,"15420","2","31","6113","Kotlin","main","GNU Affero General Public License v3.0","https://signal.org","897","25511","300","1420141","2011-12-15T08:01:12","2024-09-26T03:59:18","2024-09-28T01:06:11","10819","405","2776","6","148685","906216","191167","[{""commentLines"":0,""codeLines"":719,""blankLines"":0,""language"":""JSON""},{""commentLines"":5,""codeLines"":21,""blankLines"":10,""language"":""Dockerfile""},{""commentLines"":1,""codeLines"":60,""blankLines"":19,""language"":""Python""},{""commentLines"":40,""codeLines"":141,""blankLines"":29,""language"":""CSS""},{""commentLines"":0,""codeLines"":49375,""blankLines"":0,""language"":""Text""},{""commentLines"":0,""codeLines"":18,""blankLines"":2,""language"":""INI""},{""commentLines"":16789,""codeLines"":239086,""blankLines"":42149,""language"":""Kotlin""},{""commentLines"":0,""codeLines"":19,""blankLines"":6,""language"":""CMake""},{""commentLines"":11,""codeLines"":692,""blankLines"":154,""language"":""Handlebars""},{""commentLines"":0,""codeLines"":32,""blankLines"":13,""language"":""C++""},{""commentLines"":0,""codeLines"":11,""blankLines"":0,""language"":""IDL""},{""commentLines"":3,""codeLines"":13,""blankLines"":1,""language"":""Properties""},{""commentLines"":2,""codeLines"":67,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":43,""codeLines"":79,""blankLines"":25,""language"":""ProGuard""},{""commentLines"":13684,""codeLines"":218685,""blankLines"":52777,""language"":""Java""},{""commentLines"":159324,""codeLines"":391021,""blankLines"":52184,""language"":""XML""},{""commentLines"":108,""codeLines"":99,""blankLines"":27,""language"":""Bourne Shell""},{""commentLines"":715,""codeLines"":196,""blankLines"":50,""language"":""JavaScript""},{""commentLines"":19,""codeLines"":322,""blankLines"":165,""language"":""Markdown""},{""commentLines"":12,""codeLines"":14,""blankLines"":3,""language"":""C/C++ Header""},{""commentLines"":333,""codeLines"":3234,""blankLines"":626,""language"":""Protocol Buffers""},{""commentLines"":71,""codeLines"":2153,""blankLines"":382,""language"":""Gradle""},{""commentLines"":1,""codeLines"":12,""blankLines"":4,""language"":""make""},{""commentLines"":6,""codeLines"":147,""blankLines"":38,""language"":""YAML""}]","2024-09-26T03:58:17","69e1146e2c5bbd6f2773dfe12f723e7cc88064be",true,false,false,false,"{""Kotlin"":10900642,""Java"":10710540,""Handlebars"":23830,""Python"":3056,""CSS"":2520,""JavaScript"":1817,""Dockerfile"":1676,""C++"":1020,""CMake"":691,""Makefile"":446,""Shell"":178}","a11y;acknowledged;backup;calling;camera;contacts;crash;dark theme;desktop;device-specific;do not merge;emoji;feature;help wanted;i18n;no-play-services;notifications;pending information;performance;permission;registration;sqlcipher;ux;video;wontfix",""
"193702","square/okhttp",false,"5695","48","0","9148","Kotlin","master","Apache License 2.0","https://square.github.io/okhttp/","1626","45754","259","54967","2012-07-23T01:42:55","2024-09-30T12:47:29","2024-09-30T07:18:29","4063","138","4317","40","14850","112989","19980","[{""commentLines"":0,""codeLines"":101,""blankLines"":1,""language"":""TOML""},{""commentLines"":0,""codeLines"":41,""blankLines"":6,""language"":""CSS""},{""commentLines"":0,""codeLines"":449,""blankLines"":0,""language"":""JSON""},{""commentLines"":1,""codeLines"":70,""blankLines"":12,""language"":""XML""},{""commentLines"":68,""codeLines"":1316,""blankLines"":237,""language"":""Gradle""},{""commentLines"":822,""codeLines"":2520,""blankLines"":517,""language"":""Java""},{""commentLines"":2,""codeLines"":69,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":6,""codeLines"":9,""blankLines"":3,""language"":""ProGuard""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""IDL""},{""commentLines"":18933,""codeLines"":90352,""blankLines"":12012,""language"":""Kotlin""},{""commentLines"":0,""codeLines"":22,""blankLines"":0,""language"":""Properties""},{""commentLines"":0,""codeLines"":9,""blankLines"":2,""language"":""INI""},{""commentLines"":0,""codeLines"":5248,""blankLines"":1760,""language"":""Markdown""},{""commentLines"":139,""codeLines"":167,""blankLines"":60,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":11924,""blankLines"":68,""language"":""Text""},{""commentLines"":9,""codeLines"":691,""blankLines"":151,""language"":""YAML""}]","2024-09-16T01:25:34","f2771425cb714a5b0b27238bd081b2516b4d640f",false,false,false,false,"{""Kotlin"":3723581,""Java"":11377,""Shell"":3014}","android;android-regression;bug;build-ci;conscrypt;containers;documentation;enhancement;graal;jdkversions;loom;mockwebserver;needs info;performance;proguard;providers;renovate;stackoverflow;tests;websockets;windows","android;graalvm;java;kotlin"
"213792","owncloud/android",false,"12941","38","79","3054","Kotlin","master","GNU General Public License v2.0",,"370","3821","94","280372","2012-08-25T10:35:56","2024-10-02T02:59:48","2024-10-02T08:16:32","2417","276","2047","15","16547","125296","25478","[{""commentLines"":108,""codeLines"":117,""blankLines"":31,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":73,""blankLines"":0,""language"":""SVG""},{""commentLines"":1,""codeLines"":121,""blankLines"":4,""language"":""TOML""},{""commentLines"":0,""codeLines"":535,""blankLines"":123,""language"":""Text""},{""commentLines"":5,""codeLines"":57,""blankLines"":5,""language"":""YAML""},{""commentLines"":0,""codeLines"":8,""blankLines"":0,""language"":""Properties""},{""commentLines"":7,""codeLines"":2314,""blankLines"":959,""language"":""Markdown""},{""commentLines"":0,""codeLines"":4,""blankLines"":1,""language"":""INI""},{""commentLines"":0,""codeLines"":12192,""blankLines"":0,""language"":""JSON""},{""commentLines"":4339,""codeLines"":10248,""blankLines"":2201,""language"":""Java""},{""commentLines"":18745,""codeLines"":54894,""blankLines"":10696,""language"":""Kotlin""},{""commentLines"":2,""codeLines"":66,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":18,""codeLines"":0,""blankLines"":3,""language"":""ProGuard""},{""commentLines"":30,""codeLines"":2550,""blankLines"":856,""language"":""HTML""},{""commentLines"":172,""codeLines"":43,""blankLines"":79,""language"":""Python""},{""commentLines"":2013,""codeLines"":41669,""blankLines"":1474,""language"":""XML""},{""commentLines"":38,""codeLines"":405,""blankLines"":94,""language"":""Gradle""}]","2024-09-30T10:26:03","fa4aca34e5f43a720c2917ddf668f0566d818be3",false,false,false,false,"{""Kotlin"":3325691,""Java"":662797,""Python"":9744,""Shell"":572}","New app (only oCIS);accessibility;accounts;approved by qa;authentication;available offline;beta;branding / mdm;camera uploads;contributions are welcome;crash;dependencies;design;discussion;document provider;documentation;epic;estimation - 1 (xs);estimation - 13 (xxl);estimation - 2 (s);estimation - 21 (xxxl);estimation - 3 (m);estimation - 5 (l);estimation - 8 (xl);feature request;file list;github_actions;junior job;needs info;new architecture;notifications;offline;p1-urgent;p2-high;p3-medium;p4-low;playstore;qa;release;research;security;server involved;settings;sev1-critical;sev2-high;sev3-medium;sev4-low;share by public link;share with oc;share with users;spaces;spike;sprint;sync;technical;transfers;type:bug;ui / ux;uploads","android;kotlin;owncloud"
"232697","acra/acra",false,"2179","10","54","1133","Kotlin","master","Apache License 2.0","https://www.acra.ch","289","6299","53","13905","2012-09-20T06:13:49","2024-10-02T06:11:27","2024-10-03T03:09:25","643","2","732","7","13302","1415173","100306","[{""commentLines"":339,""codeLines"":2526,""blankLines"":314,""language"":""JavaScript""},{""commentLines"":194,""codeLines"":168,""blankLines"":26,""language"":""XML""},{""commentLines"":118,""codeLines"":111,""blankLines"":29,""language"":""Bourne Shell""},{""commentLines"":33,""codeLines"":18,""blankLines"":3,""language"":""Properties""},{""commentLines"":61,""codeLines"":310,""blankLines"":18,""language"":""SVG""},{""commentLines"":329,""codeLines"":9979,""blankLines"":2059,""language"":""CSS""},{""commentLines"":94263,""codeLines"":1394416,""blankLines"":9414,""language"":""HTML""},{""commentLines"":285,""codeLines"":397,""blankLines"":57,""language"":""Gradle""},{""commentLines"":0,""codeLines"":84,""blankLines"":0,""language"":""JSON""},{""commentLines"":162,""codeLines"":317,""blankLines"":74,""language"":""Java""},{""commentLines"":2,""codeLines"":71,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":4512,""codeLines"":5523,""blankLines"":871,""language"":""Kotlin""},{""commentLines"":0,""codeLines"":42,""blankLines"":5,""language"":""TOML""},{""commentLines"":6,""codeLines"":191,""blankLines"":19,""language"":""YAML""},{""commentLines"":2,""codeLines"":1020,""blankLines"":392,""language"":""Markdown""}]","2024-09-28T09:12:55","03d691c08ec71a1bb6d9d8ff8f9073c1f3d67828",true,false,false,false,"{""Kotlin"":396263,""MDX"":42827,""Java"":16527,""JavaScript"":5285,""CSS"":1328,""Shell"":199}","breaking change;bug;dependencies;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;needs info;pinned;question;stale;unconfirmed;wontfix","acra;android;android-developers;crash-reports"
"335671","ankidroid/anki-android",false,"19630","18","1000","2199","Kotlin","main","GNU General Public License v3.0",,"158","8479","348","255144","2013-01-20T01:55:53","2024-09-30T02:02:58","2024-09-30T01:27:53","7990","265","9149","33","17640","247988","87813","[{""commentLines"":2,""codeLines"":71,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":45,""codeLines"":20,""blankLines"":11,""language"":""ProGuard""},{""commentLines"":176,""codeLines"":454,""blankLines"":61,""language"":""TypeScript""},{""commentLines"":0,""codeLines"":21,""blankLines"":1,""language"":""SQL""},{""commentLines"":0,""codeLines"":4054,""blankLines"":0,""language"":""HTML""},{""commentLines"":126,""codeLines"":228,""blankLines"":62,""language"":""Python""},{""commentLines"":16,""codeLines"":279,""blankLines"":74,""language"":""CSS""},{""commentLines"":0,""codeLines"":18973,""blankLines"":436,""language"":""Text""},{""commentLines"":47,""codeLines"":23723,""blankLines"":62,""language"":""SVG""},{""commentLines"":0,""codeLines"":4,""blankLines"":1,""language"":""INI""},{""commentLines"":458,""codeLines"":734,""blankLines"":232,""language"":""Bourne Shell""},{""commentLines"":98,""codeLines"":1333,""blankLines"":194,""language"":""YAML""},{""commentLines"":3,""codeLines"":275,""blankLines"":131,""language"":""Markdown""},{""commentLines"":1191,""codeLines"":1323,""blankLines"":66,""language"":""JavaScript""},{""commentLines"":4,""codeLines"":7,""blankLines"":2,""language"":""Awk""},{""commentLines"":36,""codeLines"":165,""blankLines"":12,""language"":""TOML""},{""commentLines"":14,""codeLines"":13,""blankLines"":7,""language"":""Properties""},{""commentLines"":163,""codeLines"":204,""blankLines"":57,""language"":""Bourne Again Shell""},{""commentLines"":29242,""codeLines"":86257,""blankLines"":13365,""language"":""Kotlin""},{""commentLines"":168,""codeLines"":886,""blankLines"":146,""language"":""Gradle""},{""commentLines"":56024,""codeLines"":108653,""blankLines"":2691,""language"":""XML""},{""commentLines"":0,""codeLines"":311,""blankLines"":8,""language"":""JSON""}]","2024-09-30T01:13:54","ad847571f6612eb428f33c0ae31244fbccbbb6e7",true,false,false,false,"{""Kotlin"":5202285,""Java"":4039489,""HTML"":120855,""Shell"":51611,""TypeScript"":21428,""JavaScript"":19992,""Python"":15237,""CSS"":3076,""AIDL"":1546,""Awk"":314}","2.10.x;2.11.x;2.12.x;2.13.x;2.14;2.15;2.16;2.17;2.18;2.19;2.8.x;2.9.x;Queued for Cherry Pick to Stable Branch;accepted;accessibility;advanced reminders;analytics;anki ecosystem compatibility;api;audio;backend related;blocked by dependency;bug;can't reproduce;card browser;card template editor;cherry picked to stable branch;chromeos;ci;cleanup;css;dependencies;deprecation;dev;developmentversion;dictionary;docs;duplicate;enhancement;github_actions;good first issue!;gradle;gradle-wrapper;gsoc;hacktoberfest-accepted;has conflicts;help wanted;home screen;html;image-occlusion;import;javascript;js;js api;keep open;lint;miui;multimedia;needs a new dev;needs author reply;needs review;needs reviewer reply;needs second approval;needs triage;new contributor;new schema;nondeveloper;note editor;pending merge;performance;plugin;previewer;priority-critical;priority-high;priority-low;priority-medium;question;release process;rendering;reproduced;reverted on stable branch;review high priority;reviewer;scoped storage;spam;squash-merge;stale;statistics;strings;sync;tablet;tags;task;tests;translation;ts;ui;upstream-issue;v2 scheduler;widget;won't-fix","android;anki;ankidroid;education;flashcards;kotlin;learning;srs"
"477176","square/picasso",false,"1707","38","7","3969","Kotlin","master","Apache License 2.0","https://square.github.io/picasso/","832","18711","98","5736","2013-05-14T03:07:47","2024-09-23T10:27:50","2024-09-25T11:43:37","1574","194","917","31","2110","12469","2299","[{""commentLines"":0,""codeLines"":15,""blankLines"":3,""language"":""INI""},{""commentLines"":1,""codeLines"":189,""blankLines"":21,""language"":""HTML""},{""commentLines"":0,""codeLines"":192,""blankLines"":37,""language"":""Text""},{""commentLines"":26,""codeLines"":212,""blankLines"":23,""language"":""CSS""},{""commentLines"":0,""codeLines"":108,""blankLines"":27,""language"":""YAML""},{""commentLines"":0,""codeLines"":256,""blankLines"":111,""language"":""Markdown""},{""commentLines"":125,""codeLines"":121,""blankLines"":39,""language"":""Bourne Shell""},{""commentLines"":21,""codeLines"":427,""blankLines"":44,""language"":""XML""},{""commentLines"":22,""codeLines"":37,""blankLines"":0,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":47,""blankLines"":7,""language"":""Properties""},{""commentLines"":11,""codeLines"":306,""blankLines"":76,""language"":""Gradle""},{""commentLines"":0,""codeLines"":34,""blankLines"":11,""language"":""Java""},{""commentLines"":2,""codeLines"":47,""blankLines"":10,""language"":""TOML""},{""commentLines"":2089,""codeLines"":10403,""blankLines"":1680,""language"":""Kotlin""},{""commentLines"":2,""codeLines"":69,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":0,""codeLines"":6,""blankLines"":0,""language"":""JSON""}]","2024-08-29T09:50:23","75366d5d61ef014b729e4623cee2f79783f58b1a",false,false,false,false,"{""Kotlin"":482911,""HTML"":9736,""CSS"":3737,""Java"":1640,""Shell"":685}","bug;dependencies;duplicate;enhancement;invalid;needs info;question;wontfix",""
"1427015","square/moshi",false,"1294","37","0","758","Kotlin","master","Apache License 2.0","https://square.github.io/moshi/1.x/","183","9725","80","4893","2014-08-09T03:58:42","2024-09-23T11:55:14","2024-09-25T06:12:15","871","95","984","14","4247","26447","4494","[{""commentLines"":127,""codeLines"":126,""blankLines"":40,""language"":""Bourne Shell""},{""commentLines"":1,""codeLines"":8,""blankLines"":0,""language"":""Properties""},{""commentLines"":0,""codeLines"":35,""blankLines"":8,""language"":""YAML""},{""commentLines"":0,""codeLines"":1463,""blankLines"":431,""language"":""Markdown""},{""commentLines"":26,""codeLines"":573,""blankLines"":75,""language"":""Gradle""},{""commentLines"":1,""codeLines"":37,""blankLines"":2,""language"":""TOML""},{""commentLines"":2,""codeLines"":71,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":6,""codeLines"":16,""blankLines"":5,""language"":""ProGuard""},{""commentLines"":3259,""codeLines"":11928,""blankLines"":2038,""language"":""Kotlin""},{""commentLines"":1072,""codeLines"":12007,""blankLines"":1592,""language"":""Java""},{""commentLines"":0,""codeLines"":6,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":169,""blankLines"":33,""language"":""Text""},{""commentLines"":0,""codeLines"":8,""blankLines"":2,""language"":""INI""}]","2024-09-23T11:55:12","6f3031b8319f98b2dd87c3d5adef2d6e88a64f70",false,false,false,false,"{""Kotlin"":565595,""Java"":422220,""Shell"":785}","bug;dependencies;documentation;enhancement;kotlin - code gen;kotlin - reflect;needs info;pr welcome;proguard",""
"2202428","oblador/react-native-keychain",false,"356","6","33","520","Kotlin","master","MIT License",,"36","3179","79","2271","2015-05-20T03:33:48","2024-10-02T09:24:05","2024-10-02T09:24:07","421","201","240","17","1039","5289","835","[{""commentLines"":15,""codeLines"":101,""blankLines"":25,""language"":""C++""},{""commentLines"":0,""codeLines"":241,""blankLines"":40,""language"":""YAML""},{""commentLines"":0,""codeLines"":23,""blankLines"":7,""language"":""Java""},{""commentLines"":42,""codeLines"":24,""blankLines"":10,""language"":""Properties""},{""commentLines"":372,""codeLines"":2015,""blankLines"":424,""language"":""Kotlin""},{""commentLines"":2,""codeLines"":69,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":9,""codeLines"":0,""blankLines"":1,""language"":""ProGuard""},{""commentLines"":0,""codeLines"":214,""blankLines"":0,""language"":""JSON""},{""commentLines"":2,""codeLines"":36,""blankLines"":6,""language"":""Ruby""},{""commentLines"":15,""codeLines"":163,""blankLines"":30,""language"":""Gradle""},{""commentLines"":0,""codeLines"":25,""blankLines"":2,""language"":""XML""},{""commentLines"":86,""codeLines"":690,""blankLines"":63,""language"":""TypeScript""},{""commentLines"":6,""codeLines"":99,""blankLines"":28,""language"":""Objective-C++""},{""commentLines"":14,""codeLines"":522,""blankLines"":107,""language"":""Objective-C""},{""commentLines"":1,""codeLines"":16,""blankLines"":2,""language"":""Starlark""},{""commentLines"":232,""codeLines"":231,""blankLines"":57,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":14,""blankLines"":4,""language"":""INI""},{""commentLines"":0,""codeLines"":410,""blankLines"":168,""language"":""Markdown""},{""commentLines"":7,""codeLines"":4,""blankLines"":3,""language"":""C/C++ Header""},{""commentLines"":12,""codeLines"":27,""blankLines"":9,""language"":""make""},{""commentLines"":20,""codeLines"":365,""blankLines"":32,""language"":""JavaScript""}]","2024-10-02T09:24:03","bc6025f39ef930ed343aee2bf2b0deadd93b520b",false,false,false,false,"{""Kotlin"":97600,""TypeScript"":36112,""Objective-C"":22923,""JavaScript"":13715,""C++"":6981,""Objective-C++"":4452,""Ruby"":2309,""Starlark"":1926,""Makefile"":1514,""CSS"":1042,""Java"":882,""Shell"":482}","announcement;bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix","android;ios;keychain-access;react-native"
"2238373","osfans/trime",false,"2280","2","24","369","Kotlin","develop","GNU General Public License v3.0","http://osfans.github.io/trime/","76","3057","33","30242","2015-05-28T07:43:37","2024-09-18T04:17:29","2024-09-19T09:08:54","965","127","489","3","4068","94187","2593","[{""commentLines"":255,""codeLines"":2358,""blankLines"":306,""language"":""XML""},{""commentLines"":124,""codeLines"":133,""blankLines"":33,""language"":""Bourne Shell""},{""commentLines"":16,""codeLines"":329,""blankLines"":86,""language"":""C/C++ Header""},{""commentLines"":28,""codeLines"":215,""blankLines"":34,""language"":""Gradle""},{""commentLines"":259,""codeLines"":7683,""blankLines"":292,""language"":""YAML""},{""commentLines"":38,""codeLines"":2609,""blankLines"":717,""language"":""Markdown""},{""commentLines"":7,""codeLines"":67,""blankLines"":22,""language"":""make""},{""commentLines"":41,""codeLines"":106,""blankLines"":5,""language"":""TOML""},{""commentLines"":112,""codeLines"":1031,""blankLines"":122,""language"":""Java""},{""commentLines"":0,""codeLines"":59448,""blankLines"":0,""language"":""Text""},{""commentLines"":5,""codeLines"":11,""blankLines"":2,""language"":""Properties""},{""commentLines"":2,""codeLines"":71,""blankLines"":21,""language"":""DOS Batch""},{""commentLines"":23,""codeLines"":600,""blankLines"":92,""language"":""C++""},{""commentLines"":1628,""codeLines"":17711,""blankLines"":2279,""language"":""Kotlin""},{""commentLines"":53,""codeLines"":167,""blankLines"":51,""language"":""CMake""},{""commentLines"":0,""codeLines"":1395,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":10,""blankLines"":4,""language"":""INI""},{""commentLines"":2,""codeLines"":243,""blankLines"":2,""language"":""SVG""}]","2024-09-18T01:42:47","fe9c39dc41d8c8d9596aded56b158e67659abb2c",true,false,false,false,"{""Kotlin"":761288,""HTML"":62472,""Java"":46278,""C++"":38085,""CMake"":8096,""Makefile"":2564,""Shell"":778,""C"":636}","上游/upstream;兼容性/compatability;功能/feature;增強/enhancement;提問/question;暫緩/not-recent;構建/build;無效/invalid;無計劃/no-plan;疑難/hard;缺陷/bug;週邊/merchandise;重複/duplicated;長期/long-term;難現/need-more-info;需要幫助/help-wanted","android;chinese;ime;jni;opencc;rime"
