"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3647047","mpariente/pystoi",false,"65","3","0","61","MATLAB","master","MIT License",,"12","302","6","815","2018-04-18T12:01:22","2023-12-29T04:47:47","2024-04-04T04:23:40","19","3","16","2","322","1054","355","[{""commentLines"":209,""codeLines"":513,""blankLines"":163,""language"":""MATLAB""},{""commentLines"":146,""codeLines"":494,""blankLines"":138,""language"":""Python""},{""commentLines"":0,""codeLines"":47,""blankLines"":21,""language"":""Markdown""}]","2023-12-29T04:46:46","74872b000753a7a42ff51aa0868af8c82c7f9053",true,false,false,false,"{""MATLAB"":33570,""Python"":12560}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix",""
"23521107","qc17-thu/dl-sr",false,"18","1","0","27","MATLAB","main","MIT License",,"1","87","1","661","2021-01-17T01:36:56","2022-07-05T11:51:10","2024-04-11T02:41:53","22","8","1","1","342","1948","477","[{""commentLines"":42,""codeLines"":43,""blankLines"":10,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":67,""blankLines"":10,""language"":""Markdown""},{""commentLines"":368,""codeLines"":940,""blankLines"":169,""language"":""MATLAB""},{""commentLines"":67,""codeLines"":898,""blankLines"":153,""language"":""Python""}]","2022-07-05T11:51:10","7f9c8865aea1e6a067d055d419b19a459e7102c1",true,false,false,false,"{""MATLAB"":59050,""Python"":51424,""Objective-C"":233}","bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix",""
"69632061","hennyjie/braingb",false,"38","14","0","41","MATLAB","master","MIT License",,"20","153","4","840","2022-01-18T07:17:26","2024-04-06T01:05:54","2024-03-29T02:47:48","12","3","16","1","3347","11927","3123","[{""commentLines"":0,""codeLines"":30,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":7,""blankLines"":0,""language"":""TOML""},{""commentLines"":2874,""codeLines"":8979,""blankLines"":2770,""language"":""MATLAB""},{""commentLines"":0,""codeLines"":1147,""blankLines"":49,""language"":""Text""},{""commentLines"":0,""codeLines"":16,""blankLines"":5,""language"":""YAML""},{""commentLines"":218,""codeLines"":1448,""blankLines"":399,""language"":""Python""},{""commentLines"":3,""codeLines"":229,""blankLines"":94,""language"":""Markdown""},{""commentLines"":28,""codeLines"":71,""blankLines"":30,""language"":""Bourne Shell""}]","2024-01-29T06:45:05","f042694d74ad8b4bdc3637942a62be4f15336b6d",true,false,false,false,"{""MATLAB"":441367,""Python"":40428,""Shell"":6096}","bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","ai4health;brain-networks;gcn;graph-convolutional-networks;graph-neural-networks;network-embedding;pytorch"
"71766227","microsoftdocs/powerquery-docs",false,"6710","2","0","164","MATLAB","main","Creative Commons Attribution 4.0 International","https://learn.microsoft.com/power-query/","85","117","167","235214","2020-01-17T10:55:36","2024-10-02T10:02:07","2024-10-02T10:02:11","0","0","224","10","13742","25906","298","[{""commentLines"":0,""codeLines"":64,""blankLines"":0,""language"":""MATLAB""},{""commentLines"":3,""codeLines"":12,""blankLines"":2,""language"":""PowerShell""},{""commentLines"":105,""codeLines"":374,""blankLines"":24,""language"":""XML""},{""commentLines"":14,""codeLines"":1019,""blankLines"":42,""language"":""YAML""},{""commentLines"":176,""codeLines"":23836,""blankLines"":13674,""language"":""Markdown""},{""commentLines"":0,""codeLines"":601,""blankLines"":0,""language"":""JSON""}]","2024-10-02T08:58:32","73db9bf439761b6e7176fb0666477951fb69028f",false,false,false,false,"{""MATLAB"":1648,""Objective-C"":1648,""Mathematica"":1568,""PowerShell"":729}","aq-pr-triaged;certified-connector;change sent to author;cla;connector;dataflows/svc;do-not-merge;doc-bug;doc-enhancement;duplicate;enhancement;good first issue;help wanted;invalid;loc;m-language;need-a-new-contact;needs-engineering-review;needs-human-review;needs-writer-review;out-of-scope;powerquery/svc;pri1;pri2;pri3;product-feedback;product-support;qualifies-for-auto-merge;question;ready-to-merge;review-team-triage;stale;vscode-sdk-followup;waiting-for-feature-release;wontfix;writer-review-completed","documentation;learn;powerquery"
"95027574","quantombone/exemplarsvm",false,"1033","4","0","160","MATLAB","master","MIT License","http://www.cs.cmu.edu/~tmalisie/projects/iccv11/index.html","40","428","1","35338","2011-05-04T04:05:21","2015-10-24T05:52:03","2023-12-26T06:18:39","70","22","4","1","2901","11705","2860","[{""commentLines"":10,""codeLines"":76,""blankLines"":21,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":22,""blankLines"":5,""language"":""Mathematica""},{""commentLines"":13,""codeLines"":84,""blankLines"":22,""language"":""TeX""},{""commentLines"":21,""codeLines"":51,""blankLines"":12,""language"":""Python""},{""commentLines"":11,""codeLines"":32,""blankLines"":16,""language"":""make""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""Text""},{""commentLines"":0,""codeLines"":155,""blankLines"":57,""language"":""Markdown""},{""commentLines"":2500,""codeLines"":6855,""blankLines"":2143,""language"":""MATLAB""},{""commentLines"":243,""codeLines"":3200,""blankLines"":449,""language"":""C++""},{""commentLines"":62,""codeLines"":1229,""blankLines"":176,""language"":""C""}]","2013-06-20T05:23:22","54c07ec4faa96fb949991ebc512eaf7446e034f7",true,false,false,false,"{""MATLAB"":286831,""C++"":85364,""C"":37414,""M"":26604,""Python"":2611,""Objective-C"":2053}","",""
"95027584","sergeyk/selective_search_ijcv_with_python",false,"9","1","0","114","MATLAB","master","Other",,"7","183","2","530","2013-11-25T12:50:47","2015-08-31T05:08:49","2023-04-20T06:28:00","23","16","2","2","607","1997","886","[{""commentLines"":484,""codeLines"":474,""blankLines"":160,""language"":""MATLAB""},{""commentLines"":77,""codeLines"":228,""blankLines"":63,""language"":""C++""},{""commentLines"":93,""codeLines"":510,""blankLines"":134,""language"":""C""},{""commentLines"":20,""codeLines"":38,""blankLines"":9,""language"":""Python""},{""commentLines"":0,""codeLines"":46,""blankLines"":16,""language"":""Text""},{""commentLines"":0,""codeLines"":7,""blankLines"":3,""language"":""Markdown""},{""commentLines"":212,""codeLines"":679,""blankLines"":214,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":15,""blankLines"":8,""language"":""make""}]","2014-06-10T03:42:33","2ff50894aea8f49a5697354c779d3a6f9aad7d1d",true,false,false,false,"{""MATLAB"":22214,""OpenEdge ABL"":4327,""Python"":1948}","bug;duplicate;enhancement;invalid;question;wontfix",""
"95027586","RANSAC/RANSAC-Toolbox",false,"19","2","0","82","MATLAB","master","GNU General Public License v3.0","http://tinyurl.com/7x3k5av","20","181","2","341","2012-01-30T02:56:28","2016-02-19T03:25:01","2024-03-09T01:47:33","1","1","2","1","941","2442","1782","[{""commentLines"":1777,""codeLines"":1649,""blankLines"":749,""language"":""MATLAB""},{""commentLines"":5,""codeLines"":4,""blankLines"":2,""language"":""Unity-Prefab""},{""commentLines"":0,""codeLines"":789,""blankLines"":190,""language"":""Text""}]","2014-07-05T12:36:18","c08308bf61aaf669b00533409cb0daaa10c000aa",true,false,false,false,"{""MATLAB"":100621,""M"":4912}","",""
"95027616","tntrung/sdm_face_alignment",false,"20","1","0","71","MATLAB","master","GNU General Public License v2.0",,"11","99","1","440362","2015-02-13T02:57:44","2016-01-07T01:40:01","2023-11-03T02:17:10","10","7","1","1","688","1328","420","[{""commentLines"":420,""codeLines"":1267,""blankLines"":661,""language"":""MATLAB""},{""commentLines"":0,""codeLines"":61,""blankLines"":27,""language"":""Markdown""}]","2015-10-10T01:59:29","f546cbb1e77b8bad971e8c5914d2ca73e0bb9b67",true,false,false,false,"{""MATLAB"":60865,""Mercury"":127}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"95029372","rbgirshick/rcnn",false,"50","4","1","979","MATLAB","master","BSD 2-Clause Simplified License",,"183","2339","2","539","2014-03-13T10:46:18","2017-04-03T04:16:14","2024-04-15T10:08:05","81","52","6","3","1616","8194","1323","[{""commentLines"":0,""codeLines"":18,""blankLines"":0,""language"":""Windows Module Definition""},{""commentLines"":0,""codeLines"":2,""blankLines"":1,""language"":""Text""},{""commentLines"":0,""codeLines"":214,""blankLines"":78,""language"":""Markdown""},{""commentLines"":89,""codeLines"":372,""blankLines"":66,""language"":""Python""},{""commentLines"":4,""codeLines"":85,""blankLines"":32,""language"":""make""},{""commentLines"":78,""codeLines"":1795,""blankLines"":287,""language"":""C""},{""commentLines"":11,""codeLines"":392,""blankLines"":178,""language"":""C/C++ Header""},{""commentLines"":176,""codeLines"":2524,""blankLines"":369,""language"":""C++""},{""commentLines"":965,""codeLines"":2734,""blankLines"":583,""language"":""MATLAB""},{""commentLines"":0,""codeLines"":58,""blankLines"":22,""language"":""Bourne Shell""}]","2017-04-03T04:16:03","43b0334e96e9e910bc45c94902a093b5a6f35d0a",true,false,false,false,"{""MATLAB"":128544,""Shell"":1995}","bug;duplicate;enhancement;invalid;question;wontfix",""
"95029400","SheffieldML/GPmat",false,"1959","4","1","92","MATLAB","master","BSD 3-Clause New or Revised License",,"46","131","10","209734","2013-02-26T01:38:16","2017-06-16T12:51:55","2024-01-28T06:23:20","19","3","5","1","16325","148661","38405","[{""commentLines"":37443,""codeLines"":53669,""blankLines"":14416,""language"":""MATLAB""},{""commentLines"":0,""codeLines"":82722,""blankLines"":381,""language"":""Text""},{""commentLines"":0,""codeLines"":1577,""blankLines"":1090,""language"":""Markdown""},{""commentLines"":155,""codeLines"":1245,""blankLines"":158,""language"":""Fortran 77""},{""commentLines"":2,""codeLines"":39,""blankLines"":7,""language"":""Perl""},{""commentLines"":11,""codeLines"":2171,""blankLines"":6,""language"":""C/C++ Header""},{""commentLines"":19,""codeLines"":25,""blankLines"":3,""language"":""DOS Batch""},{""commentLines"":196,""codeLines"":256,""blankLines"":13,""language"":""Bourne Shell""},{""commentLines"":374,""codeLines"":214,""blankLines"":94,""language"":""Python""},{""commentLines"":198,""codeLines"":497,""blankLines"":147,""language"":""C""},{""commentLines"":0,""codeLines"":6179,""blankLines"":0,""language"":""CSV""},{""commentLines"":7,""codeLines"":67,""blankLines"":10,""language"":""C++""}]","2017-06-16T12:51:54","4b5914a38ecbad9fb7a13a3392970bfc28c9d911",true,false,false,false,"{""MATLAB"":3457982,""C++"":142285,""Fortran"":48625,""Python"":25032,""C"":24009,""Shell"":16015,""Perl"":2214,""Batchfile"":1986,""M"":681}","bug;duplicate;enhancement;invalid;question;wontfix",""
