"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"6874448","coollabsio/coolify",false,"8320","4","543","1682","PHP","main","Apache License 2.0","https://coolify.io","114","32290","226","25233","2021-01-25T08:54:01","2024-10-02T07:24:13","2024-10-03T07:29:41","1719","335","1221","65","9425","91540","7138","[{""commentLines"":76,""codeLines"":871,""blankLines"":137,""language"":""Bourne Shell""},{""commentLines"":23,""codeLines"":1673,""blankLines"":14,""language"":""SVG""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""Text""},{""commentLines"":684,""codeLines"":14084,""blankLines"":545,""language"":""YAML""},{""commentLines"":0,""codeLines"":457,""blankLines"":186,""language"":""Markdown""},{""commentLines"":5880,""codeLines"":54623,""blankLines"":7956,""language"":""PHP""},{""commentLines"":78,""codeLines"":482,""blankLines"":72,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":14,""blankLines"":4,""language"":""INI""},{""commentLines"":333,""codeLines"":15061,""blankLines"":306,""language"":""Blade""},{""commentLines"":4,""codeLines"":671,""blankLines"":7,""language"":""Vuejs Component""},{""commentLines"":0,""codeLines"":2833,""blankLines"":0,""language"":""JSON""},{""commentLines"":15,""codeLines"":141,""blankLines"":44,""language"":""Dockerfile""},{""commentLines"":37,""codeLines"":536,""blankLines"":140,""language"":""CSS""},{""commentLines"":6,""codeLines"":51,""blankLines"":14,""language"":""Bourne Again Shell""},{""commentLines"":2,""codeLines"":41,""blankLines"":0,""language"":""XML""}]","2024-10-01T07:36:50","5354561c394bdaa6a3a6b23e45fc372bfdc1a493",false,false,false,false,"{""PHP"":2519461,""Blade"":923854,""Svelte"":69403,""Shell"":44875,""Vue"":30829,""JavaScript"":19303,""CSS"":10619,""Dockerfile"":9215,""HTML"":419}","dependencies;⏱︎ Stale;⚙️ New Service;⚪ Low Priority;✅ done;✨ enhancement;🎯 feature;🏔️ Peaklabs;👥 Core Team Only;💎 bounty;📆 planned;📈 improvement;📑 docs;📦 next;🔴 Live-stream;🔴 high priority;🗯️ waiting for feedback;🙀 triage;🙋 bounty claim;🟡 medium priority;🦟 bug;🧨 confirmed bug","analytics;couchdb;databases;docker;minio;mongodb;mysql;mysql-database;nextjs;nodejs;php;postgresql;reactjs;redis;self-hosting;static;svelte;vscode;vuejs"
"13593613","phpoffice/phpexcel",false,"1274","13","0","4089","PHP","1.8","Other",,"784","11409","59","22024","2012-06-18T03:30:27","2019-01-02T01:38:48","2021-04-02T05:36:06","992","562","440","106","16524","76311","40153","[{""commentLines"":0,""codeLines"":5159,""blankLines"":1988,""language"":""Markdown""},{""commentLines"":0,""codeLines"":188,""blankLines"":28,""language"":""Ant""},{""commentLines"":40140,""codeLines"":69553,""blankLines"":14456,""language"":""PHP""},{""commentLines"":0,""codeLines"":43,""blankLines"":0,""language"":""JSON""},{""commentLines"":7,""codeLines"":57,""blankLines"":0,""language"":""MSBuild script""},{""commentLines"":0,""codeLines"":720,""blankLines"":1,""language"":""XML""},{""commentLines"":1,""codeLines"":18,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":4,""codeLines"":20,""blankLines"":5,""language"":""YAML""},{""commentLines"":0,""codeLines"":8,""blankLines"":0,""language"":""DOS Batch""},{""commentLines"":1,""codeLines"":318,""blankLines"":45,""language"":""C#""},{""commentLines"":0,""codeLines"":227,""blankLines"":0,""language"":""CSV""}]","2019-01-02T01:38:47","39534e3dd376041d0d50a4714e73375bf45b692b",true,true,false,false,"{""PHP"":4078010,""Batchfile"":181}","component - calculation engine;component - chart engine;component - csv;component - excel2003;component - excel2007;component - excel5;component - gnumeric;component - html;component - ods;component - pdf;component - sylk;component - zip engine;hacktoberfest;source - codeplex;source - pull request;type - bug;type - documentation;type - enhancement;type - question",""
"13734561","php-fig/simple-cache",false,"28","3","6","53","PHP","master","MIT License",,"15","8040","10","27","2016-08-24T05:22:12","2023-09-21T11:04:18","2023-09-24T09:28:28","0","0","28","6","18","72","101","[{""commentLines"":0,""codeLines"":24,""blankLines"":5,""language"":""Markdown""},{""commentLines"":0,""codeLines"":25,""blankLines"":0,""language"":""JSON""},{""commentLines"":101,""codeLines"":23,""blankLines"":13,""language"":""PHP""}]","2022-04-08T04:41:45","2d280c2aaa23a120f35d55cfde8581954a8e77fa",false,false,false,false,"{""PHP"":5255}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix","hacktoberfest;php"
"13744110","phpdocumentor/reflectioncommon",false,"172","3","11","20","PHP","2.x","MIT License",,"7","9003","12","155","2015-05-31T09:52:59","2024-04-15T09:15:09","2024-04-16T03:19:42","6","0","70","2","76","413","160","[{""commentLines"":0,""codeLines"":9,""blankLines"":2,""language"":""Markdown""},{""commentLines"":155,""codeLines"":147,""blankLines"":51,""language"":""PHP""},{""commentLines"":0,""codeLines"":30,""blankLines"":9,""language"":""make""},{""commentLines"":2,""codeLines"":109,""blankLines"":10,""language"":""YAML""},{""commentLines"":3,""codeLines"":81,""blankLines"":4,""language"":""XML""},{""commentLines"":0,""codeLines"":37,""blankLines"":0,""language"":""JSON""}]","2024-04-02T06:34:56","fba210e6b7ad09af797e718d78b49c05370e27dc",true,false,false,false,"{""PHP"":7885,""Makefile"":1792}","bug;dependencies;duplicate;enhancement;github_actions;help wanted;in progress;invalid;question;wontfix","hacktoberfest"
"13799517","fideloper/trustedproxy",false,"239","4","17","125","PHP","master","MIT License",,"29","7359","25","161","2013-04-30T08:03:01","2024-01-09T08:39:37","2024-01-10T08:31:03","76","1","84","6","132","498","193","[{""commentLines"":8,""codeLines"":32,""blankLines"":11,""language"":""YAML""},{""commentLines"":0,""codeLines"":66,""blankLines"":37,""language"":""Markdown""},{""commentLines"":0,""codeLines"":35,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":20,""blankLines"":0,""language"":""XML""},{""commentLines"":185,""codeLines"":345,""blankLines"":84,""language"":""PHP""}]","2022-02-09T01:33:34","a751f2bc86dd8e6cfef12dc0cbdada82f5a18750",true,false,false,false,"{""PHP"":23995}","bug;duplicate;enhancement;important update;invalid;question;toxic-af;wont-fix;wontfix",""
"13814474","intervention/image",false,"1672","6","12","1495","PHP","develop","MIT License","https://image.intervention.io","269","13876","120","4943","2013-01-19T03:05:32","2024-09-21T08:54:14","2024-09-25T07:48:15","997","26","398","2","4875","20966","6690","[{""commentLines"":0,""codeLines"":22,""blankLines"":2,""language"":""SVG""},{""commentLines"":0,""codeLines"":120,""blankLines"":20,""language"":""YAML""},{""commentLines"":0,""codeLines"":10,""blankLines"":2,""language"":""INI""},{""commentLines"":6688,""codeLines"":20519,""blankLines"":4787,""language"":""PHP""},{""commentLines"":0,""codeLines"":83,""blankLines"":1,""language"":""XML""},{""commentLines"":0,""codeLines"":51,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":141,""blankLines"":61,""language"":""Markdown""},{""commentLines"":2,""codeLines"":20,""blankLines"":2,""language"":""Dockerfile""}]","2024-09-14T06:47:04","e9dbb82486d6af7753fd097e7c9120a749fe7658",false,false,false,false,"{""PHP"":912935,""Dockerfile"":643}","hotfix-release;investigation-needed;major-release;minor-release;patch-release","gd;image;imagick;intervention;php"
"13822995","top-think/think",false,"2057","7","77","1623","PHP","8.0","Other","http://www.thinkphp.cn","431","7816","40","24367","2013-02-20T03:14:27","2024-07-24T05:27:33","2024-07-24T10:05:00","845","127","299","1","110","495","270","[{""commentLines"":0,""codeLines"":31,""blankLines"":3,""language"":""Text""},{""commentLines"":270,""codeLines"":334,""blankLines"":69,""language"":""PHP""},{""commentLines"":0,""codeLines"":46,""blankLines"":31,""language"":""Markdown""},{""commentLines"":0,""codeLines"":35,""blankLines"":7,""language"":""YAML""},{""commentLines"":0,""codeLines"":49,""blankLines"":0,""language"":""JSON""}]","2024-07-24T05:25:49","5fad6f6f942dadac5f1b028231c69423db568990",true,false,false,false,"{""PHP"":18912,""Shell"":231}","bug;duplicate;enhancement;invalid;question;wontfix;worksforme","framework;orm;route;template;thinkphp"
"13832059","doctrine/inflector",false,"395","7","21","137","PHP","2.0.x","MIT License","https://www.doctrine-project.org/projects/inflector.html","21","11245","75","1919","2013-01-10T09:34:22","2024-09-30T07:05:28","2024-09-30T07:05:31","64","12","196","9","640","3407","312","[{""commentLines"":1,""codeLines"":67,""blankLines"":8,""language"":""XML""},{""commentLines"":0,""codeLines"":96,""blankLines"":17,""language"":""YAML""},{""commentLines"":0,""codeLines"":5,""blankLines"":2,""language"":""Markdown""},{""commentLines"":0,""codeLines"":122,""blankLines"":0,""language"":""JSON""},{""commentLines"":78,""codeLines"":74,""blankLines"":74,""language"":""reStructuredText""},{""commentLines"":233,""codeLines"":3043,""blankLines"":539,""language"":""PHP""}]","2024-09-30T07:05:26","a0a4f715a594ee3f22770bfa0e21661ce21ca7b1",false,false,false,false,"{""PHP"":114235}","bug;ci;code style;documentation;duplicate;enhancement;hacktoberfest;improvement;invalid;missing tests;question;static analysis;test suite;won't fix",""
"13832072","jupeter/clean-code-php",false,"380","2","0","2159","PHP","master","MIT License",,"454","11393","51","368","2017-01-16T11:21:17","2023-02-15T12:24:26","2023-02-19T05:55:32","52","20","167","9","532","1736","1","[{""commentLines"":0,""codeLines"":12,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":22,""blankLines"":5,""language"":""PHP""},{""commentLines"":0,""codeLines"":1687,""blankLines"":522,""language"":""Markdown""},{""commentLines"":1,""codeLines"":15,""blankLines"":5,""language"":""YAML""}]","2022-06-19T08:38:32","8d9013251a674da30a0e25fb950438f2d7cfdf64",true,false,false,false,"{""PHP"":52339}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"13832081","phpdocumentor/typeresolver",false,"447","6","35","49","PHP","1.x","MIT License",,"13","9118","41","792","2015-06-10T07:05:30","2024-07-29T12:09:13","2024-07-29T02:27:10","56","6","155","2","4230","26362","4520","[{""commentLines"":0,""codeLines"":14,""blankLines"":1,""language"":""Twig""},{""commentLines"":2,""codeLines"":167,""blankLines"":20,""language"":""YAML""},{""commentLines"":0,""codeLines"":121,""blankLines"":56,""language"":""Markdown""},{""commentLines"":0,""codeLines"":36,""blankLines"":11,""language"":""make""},{""commentLines"":7,""codeLines"":135,""blankLines"":9,""language"":""XML""},{""commentLines"":4500,""codeLines"":25792,""blankLines"":4119,""language"":""PHP""},{""commentLines"":0,""codeLines"":73,""blankLines"":0,""language"":""JSON""},{""commentLines"":11,""codeLines"":24,""blankLines"":14,""language"":""reStructuredText""}]","2024-05-24T02:24:30","eee054a3d40f09920f5b27c9b09a6483f88d9d24",true,false,false,false,"{""PHP"":1440733,""Makefile"":2063,""Twig"":598}","bug;dependencies;duplicate;enhancement;github_actions;help wanted;in discussion;in progress;invalid;needs author update;php;pr pending;question;ready to work on;wontfix","typeresolver"
