"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3492779","rdatatable/data.table",false,"5431","200","0","978","R","master","Mozilla Public License 2.0","http://r-datatable.com","175","3589","129","55619","2014-06-07T04:38:05","2024-10-02T11:39:49","2024-10-02T09:55:40","4435","935","2086","110","10181","308955","12195","[{""commentLines"":1,""codeLines"":150,""blankLines"":1,""language"":""SVG""},{""commentLines"":0,""codeLines"":197,""blankLines"":108,""language"":""Text""},{""commentLines"":2467,""codeLines"":15478,""blankLines"":958,""language"":""C""},{""commentLines"":0,""codeLines"":6,""blankLines"":0,""language"":""CSS""},{""commentLines"":2011,""codeLines"":668,""blankLines"":1324,""language"":""Rmd""},{""commentLines"":5556,""codeLines"":21822,""blankLines"":4676,""language"":""PO File""},{""commentLines"":2,""codeLines"":4293,""blankLines"":2187,""language"":""Markdown""},{""commentLines"":330,""codeLines"":3117,""blankLines"":163,""language"":""C/C++ Header""},{""commentLines"":22,""codeLines"":149,""blankLines"":24,""language"":""Bourne Shell""},{""commentLines"":122,""codeLines"":789,""blankLines"":80,""language"":""YAML""},{""commentLines"":0,""codeLines"":37,""blankLines"":10,""language"":""make""},{""commentLines"":0,""codeLines"":18,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":253412,""blankLines"":2,""language"":""CSV""},{""commentLines"":1678,""codeLines"":8221,""blankLines"":543,""language"":""R""},{""commentLines"":1,""codeLines"":556,""blankLines"":92,""language"":""DOS Batch""},{""commentLines"":5,""codeLines"":42,""blankLines"":13,""language"":""Dockerfile""}]","2024-10-01T09:15:32","b4538a0a1fb6dbd6453a00bc45bc90eb3ada3f19",true,false,false,false,"{""R"":1953894,""C"":1033442,""Batchfile"":34394,""Shell"":2313,""Dockerfile"":1894,""C++"":1217,""Makefile"":779,""CSS"":101}","DT();atime;beginner-task;benchmark;bit64;breaking-change;bug;ci;code-quality;consistency;cran;dev;documentation;duplicate;encoding;enhancement;feature request;fread;froll;fwrite;gforce;governance;graphite-ready;groupingsets;help-wanted;high;idate/itime;install;internals;joins;longvec;low;message;non-atomic column;non-equi joins;not reproducible;nsf;openmp;out-of-scope;performance;platform-specific;print;programming;question;r-devel;rbindlist;refactor;regression;release;reprex-needed;reshape;revdep;segfault;someday;tests;top request;translation;vote;wai;wontfix;www",""
"6871777","rstudio/learnr",false,"1103","26","9","240","R","main","Apache License 2.0","https://pkgs.rstudio.com/learnr","34","709","46","24195","2016-10-19T04:33:44","2024-09-04T06:30:49","2024-09-04T06:27:02","435","138","341","9","5112","29088","6789","[{""commentLines"":3699,""codeLines"":1514,""blankLines"":1825,""language"":""Rmd""},{""commentLines"":485,""codeLines"":3085,""blankLines"":551,""language"":""JavaScript""},{""commentLines"":2,""codeLines"":27,""blankLines"":0,""language"":""SVG""},{""commentLines"":0,""codeLines"":10496,""blankLines"":1,""language"":""JSON""},{""commentLines"":2446,""codeLines"":10154,""blankLines"":2068,""language"":""R""},{""commentLines"":18,""codeLines"":1132,""blankLines"":415,""language"":""Markdown""},{""commentLines"":11,""codeLines"":260,""blankLines"":52,""language"":""HTML""},{""commentLines"":76,""codeLines"":1892,""blankLines"":71,""language"":""YAML""},{""commentLines"":1,""codeLines"":12,""blankLines"":2,""language"":""Python""},{""commentLines"":51,""codeLines"":516,""blankLines"":127,""language"":""CSS""}]","2024-09-04T06:26:57","a644d2dd4c083c7596fd73edc0431bcb52811357",false,false,false,false,"{""R"":451879,""JavaScript"":108261,""CSS"":12460,""HTML"":7375,""Python"":391}",":bulb: neat idea;answered?;chircollab;difficulty: advanced;difficulty: intermediate;difficulty: novice;docs;duplicate;effort: high;effort: low;effort: medium;faq :raising_hand:;help wanted;need info;out of scope;priority: critical;priority: high;priority: low;priority: medium;tidy-dev-day :nerd_face:;type: bug;type: enhancement;type: question;will not fix","interactive;python;r;r-package;rmarkdown;rstats;shiny;sql;teaching;tutorial"
"58284730","ddsjoberg/gtsummary",false,"2019","8","34","113","R","main","Other","http://www.danieldsjoberg.com/gtsummary","19","1044","34","714951","2019-02-27T02:44:33","2024-10-02T11:06:57","2024-10-02T10:30:33","1132","70","872","1","6092","38124","8601","[{""commentLines"":0,""codeLines"":52,""blankLines"":0,""language"":""Text""},{""commentLines"":5,""codeLines"":4128,""blankLines"":380,""language"":""HTML""},{""commentLines"":0,""codeLines"":137,""blankLines"":0,""language"":""CSV""},{""commentLines"":842,""codeLines"":973,""blankLines"":510,""language"":""Rmd""},{""commentLines"":0,""codeLines"":197,""blankLines"":0,""language"":""SVG""},{""commentLines"":7738,""codeLines"":26445,""blankLines"":3587,""language"":""R""},{""commentLines"":13,""codeLines"":416,""blankLines"":58,""language"":""YAML""},{""commentLines"":3,""codeLines"":4987,""blankLines"":1557,""language"":""Markdown""},{""commentLines"":0,""codeLines"":789,""blankLines"":0,""language"":""JSON""}]","2024-10-02T10:30:29","c0602c551e0af6b1202fa5c8f56b367e0785a1f3",true,false,false,false,"{""C++"":286527281,""JavaScript"":4591192,""SCSS"":1823708,""C"":1448501,""CSS"":1389374,""R"":1210044,""HTML"":743570,""PostScript"":359556,""TeX"":273538,""Shell"":58506,""Makefile"":50750,""Lua"":46890,""Tcl"":43999,""Dockerfile"":38109,""CMake"":29420,""Awk"":26905,""Python"":19784,""Assembly"":16400,""q"":15048,""Perl"":6124,""Less"":4368,""MATLAB"":4000,""SAS"":2658,""AppleScript"":2332,""Stan"":732,""Batchfile"":218,""M"":166}","advanced :woman_technologist:;bug :bug:;documentation :bookmark_tabs:;duplicate :dancers:;enhancement :star2:;good for beginners :heart:;hackathon;help wanted;high priority;infrastructure;low priority;question :confused:;stale issue;v2.0;v2.0 :crossed_fingers::crossed_fingers:;waiting;wontfix","easy-to-use;gt;html5;r;r-package;regression-models;reproducibility;reproducible-research;rstats;statistics;summary-statistics;summary-tables;table1;tableone"
"70509899","r-lib/cli",false,"1564","31","24","69","R","main","Other","https://cli.r-lib.org/","7","644","41","29415","2017-04-28T04:10:28","2024-09-19T05:08:48","2024-09-19T05:55:40","509","90","213","5","7649","43276","9911","[{""commentLines"":0,""codeLines"":3096,""blankLines"":0,""language"":""XML""},{""commentLines"":6796,""codeLines"":16362,""blankLines"":3190,""language"":""R""},{""commentLines"":0,""codeLines"":3,""blankLines"":1,""language"":""make""},{""commentLines"":893,""codeLines"":5501,""blankLines"":628,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":3,""blankLines"":1,""language"":""CSS""},{""commentLines"":25,""codeLines"":577,""blankLines"":88,""language"":""YAML""},{""commentLines"":3,""codeLines"":8858,""blankLines"":1762,""language"":""Markdown""},{""commentLines"":408,""codeLines"":7552,""blankLines"":1059,""language"":""C""},{""commentLines"":0,""codeLines"":66,""blankLines"":15,""language"":""Text""},{""commentLines"":1780,""codeLines"":1138,""blankLines"":894,""language"":""Rmd""},{""commentLines"":0,""codeLines"":48,""blankLines"":0,""language"":""SVG""},{""commentLines"":6,""codeLines"":72,""blankLines"":11,""language"":""C++""}]","2024-09-19T04:55:47","1220ed092c03e167ff0062e9839c81d7258a4600",true,false,false,false,"{""R"":747078,""C"":728482,""C++"":2093,""Makefile"":172,""CSS"":35}","breaking change :skull_and_crossbones:;bug;documentation;feature;good first issue :heart:;help wanted :heart:;reprex;tidy-dev-day :nerd_face:;upkeep;wip","cli;r"
"94921004","amplab-extras/SparkR-pkg",false,"758","6","0","326","R","master","Apache License 2.0","http://amplab-extras.github.io/SparkR-pkg","151","642","21","4596","2013-12-21T09:16:54","2016-06-10T09:42:55","2024-04-02T05:41:34","0","0","204","1","1232","105807","2350","[{""commentLines"":170,""codeLines"":1011,""blankLines"":178,""language"":""Scala""},{""commentLines"":4,""codeLines"":8,""blankLines"":3,""language"":""Properties""},{""commentLines"":10,""codeLines"":21,""blankLines"":4,""language"":""C++""},{""commentLines"":3,""codeLines"":452,""blankLines"":17,""language"":""XML""},{""commentLines"":2,""codeLines"":3,""blankLines"":3,""language"":""DOS Batch""},{""commentLines"":33,""codeLines"":105,""blankLines"":26,""language"":""Bourne Again Shell""},{""commentLines"":2079,""codeLines"":3877,""blankLines"":865,""language"":""R""},{""commentLines"":0,""codeLines"":12,""blankLines"":7,""language"":""Text""},{""commentLines"":0,""codeLines"":100001,""blankLines"":0,""language"":""Unity-Prefab""},{""commentLines"":6,""codeLines"":19,""blankLines"":7,""language"":""C""},{""commentLines"":42,""codeLines"":66,""blankLines"":36,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":44,""blankLines"":13,""language"":""make""},{""commentLines"":1,""codeLines"":21,""blankLines"":4,""language"":""YAML""},{""commentLines"":0,""codeLines"":167,""blankLines"":69,""language"":""Markdown""}]","2016-06-10T09:42:54","9694d8e0148879e51fb7610deb8028dfe00aaffb",true,false,false,false,"{""R"":270801,""Scala"":43332,""Shell"":9253,""Makefile"":1468,""C"":720,""Batchfile"":120}","bug;duplicate;enhancement;invalid;question;wontfix",""
"94922351","hadley/stats337",false,"46","1","0","230","R","master","Creative Commons Attribution Share Alike 4.0 International",,"134","1616","7","18634","2018-03-26T10:51:33","2018-06-21T03:57:29","2024-03-25T02:52:26","6","5","10","2","544","949","268","[{""commentLines"":234,""codeLines"":3,""blankLines"":51,""language"":""Rmd""},{""commentLines"":32,""codeLines"":910,""blankLines"":476,""language"":""Markdown""},{""commentLines"":2,""codeLines"":36,""blankLines"":17,""language"":""R""}]","2018-06-20T01:41:49","c285022b83e4fbc58e86e3eec2bb08c359475368",true,false,false,false,"{""R"":1408}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","data-science;teaching"
"94923520","twitter/AnomalyDetection",false,"92","1","1","776","R","master","GNU General Public License v3.0",,"330","3529","8","1377","2014-12-09T05:46:24","2019-08-30T07:49:16","2024-03-08T06:00:22","79","62","37","9","161","1525","241","[{""commentLines"":237,""codeLines"":654,""blankLines"":128,""language"":""R""},{""commentLines"":0,""codeLines"":767,""blankLines"":0,""language"":""CSV""},{""commentLines"":4,""codeLines"":18,""blankLines"":8,""language"":""YAML""},{""commentLines"":0,""codeLines"":86,""blankLines"":25,""language"":""Markdown""}]","2015-08-31T08:11:23","1f5deaa1609f8f1964c1e905c7a8ad2d1d0dc718",false,true,false,false,"{""R"":45051}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"94924212","johnmyleswhite/BanditsBook",false,"32","1","0","267","R","master","Other",,"50","880","5","60","2012-10-25T09:45:20","2020-01-09T07:48:06","2024-04-03T05:40:17","8","5","13","3","421","1797","99","[{""commentLines"":22,""codeLines"":9,""blankLines"":8,""language"":""Bourne Shell""},{""commentLines"":10,""codeLines"":521,""blankLines"":128,""language"":""Julia""},{""commentLines"":52,""codeLines"":437,""blankLines"":60,""language"":""R""},{""commentLines"":0,""codeLines"":70,""blankLines"":33,""language"":""Markdown""},{""commentLines"":0,""codeLines"":261,""blankLines"":49,""language"":""Ruby""},{""commentLines"":15,""codeLines"":499,""blankLines"":143,""language"":""Python""}]","2016-05-31T05:19:30","72345f9fb3c2c5b83abe5adcae16c86ed1213d4f",true,false,false,false,"{""R"":20935,""Python"":16681,""Julia"":16316,""Ruby"":6676,""Shell"":1154}","bug;duplicate;enhancement;invalid;question;wontfix",""
"94924214","rstudio/RStartHere",false,"50","1","0","221","R","master","Other",,"80","657","11","358","2016-04-25T08:27:24","2019-09-16T04:42:30","2024-04-06T04:11:29","4","1","20","7","129","338","312","[{""commentLines"":0,""codeLines"":314,""blankLines"":63,""language"":""Markdown""},{""commentLines"":0,""codeLines"":13,""blankLines"":5,""language"":""Text""},{""commentLines"":3,""codeLines"":11,""blankLines"":2,""language"":""R""},{""commentLines"":309,""codeLines"":0,""blankLines"":59,""language"":""Rmd""}]","2017-11-27T02:06:23","6f339d135a7757cfc85ad2359315d78feffa35f7",true,false,false,false,"{""R"":720}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"94924984","Azure/Azure-TDSP-ProjectTemplate",false,"32","1","0","432","R","master","Creative Commons Attribution 4.0 International","https://github.com/Azure/Azure-TDSP-ProjectTemplate","130","514","6","57","2016-09-09T08:42:49","2020-08-10T08:06:12","2024-03-18T04:27:51","6","3","4","1","143","277","1","[{""commentLines"":0,""codeLines"":270,""blankLines"":142,""language"":""Markdown""},{""commentLines"":0,""codeLines"":2,""blankLines"":1,""language"":""Text""},{""commentLines"":0,""codeLines"":4,""blankLines"":0,""language"":""CSV""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""JSON""},{""commentLines"":1,""codeLines"":0,""blankLines"":0,""language"":""R""}]","2018-06-27T06:36:53","ac671c65c8e03eb917c04ee7339dc140128f3d2d",true,true,false,false,"{""R"":19}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix","team"
