"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3753335","matteocrippa/awesome-swift",false,"3993","2","0","3075","Ruby","master","Creative Commons Zero v1.0 Universal",,"913","24765","374","6938","2014-07-10T02:04:09","2024-09-30T09:39:10","2024-09-30T10:53:40","132","1","1699","5","374","45361","10","[{""commentLines"":0,""codeLines"":42432,""blankLines"":1,""language"":""JSON""},{""commentLines"":5,""codeLines"":0,""blankLines"":3,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":1200,""blankLines"":0,""language"":""Swift""},{""commentLines"":0,""codeLines"":15,""blankLines"":7,""language"":""Bourne Shell""},{""commentLines"":2,""codeLines"":123,""blankLines"":34,""language"":""Ruby""},{""commentLines"":0,""codeLines"":34,""blankLines"":4,""language"":""YAML""},{""commentLines"":3,""codeLines"":1557,""blankLines"":325,""language"":""Markdown""}]","2024-09-30T09:39:09","5dbd852990dc974f810def190c61cba940e5838f",false,false,false,false,"{""Swift"":25209,""Shell"":435,""Ruby"":181,""JavaScript"":92}","bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix","awesome;awesome-list;awesome-lists;awesome-swift;ios;linux;list;lists;swift;swift-extensions;swift-framework;swift-language;swift-library"
"3967885","felixonmars/dnsmasq-china-list",false,"203193","1","0","831","Ruby","master","Other",,"214","5514","70","303570","2013-06-02T03:10:59","2024-10-01T03:39:03","2024-10-01T03:39:14","283","16","293","8","117","1116","23","[{""commentLines"":0,""codeLines"":485,""blankLines"":0,""language"":""Text""},{""commentLines"":10,""codeLines"":36,""blankLines"":9,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":60,""blankLines"":11,""language"":""make""},{""commentLines"":0,""codeLines"":26,""blankLines"":2,""language"":""Bourne Again Shell""},{""commentLines"":13,""codeLines"":438,""blankLines"":69,""language"":""Ruby""},{""commentLines"":0,""codeLines"":19,""blankLines"":0,""language"":""YAML""},{""commentLines"":0,""codeLines"":52,""blankLines"":26,""language"":""Markdown""}]","2024-10-01T03:38:51","8a7d32e07d1100ed0aec7ff7691e4b10ae1351c7",true,false,false,false,"{""Ruby"":16016,""Python"":14325,""Makefile"":4679,""Shell"":2553}","需要例子;需要验证",""
"14086707","rails-api/rails-api",false,"253","1","0","292","Ruby","master","MIT License",,"169","5202","51","182","2012-03-17T02:39:31","2018-03-04T12:22:53","2021-04-04T12:39:40","137","11","91","2","328","1201","117","[{""commentLines"":0,""codeLines"":42,""blankLines"":6,""language"":""YAML""},{""commentLines"":0,""codeLines"":222,""blankLines"":114,""language"":""Markdown""},{""commentLines"":117,""codeLines"":937,""blankLines"":208,""language"":""Ruby""}]","2017-03-09T02:08:09","91c6c35a3babfcec535e7e2469eca8aa49289b4a",true,false,false,false,"{""Ruby"":37637}","bug;duplicate;enhancement;invalid;question;wontfix",""
"14122207","venmo/synx",false,"211","21","6","282","Ruby","master","MIT License",,"142","6056","16","18385","2014-04-29T08:28:39","2019-07-18T11:40:39","2021-04-06T03:02:15","99","52","47","8","263","1136","139","[{""commentLines"":0,""codeLines"":142,""blankLines"":0,""language"":""XML""},{""commentLines"":51,""codeLines"":35,""blankLines"":26,""language"":""Objective-C""},{""commentLines"":0,""codeLines"":119,""blankLines"":62,""language"":""Markdown""},{""commentLines"":42,""codeLines"":18,""blankLines"":18,""language"":""C/C++ Header""},{""commentLines"":2,""codeLines"":107,""blankLines"":4,""language"":""YAML""},{""commentLines"":44,""codeLines"":715,""blankLines"":153,""language"":""Ruby""}]","2016-05-13T10:56:18","e22f20ac62105365d3e780dc12d6268b546858ce",true,false,false,false,"{""Ruby"":31737,""Objective-C"":2849}","bug;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"14160350","chyingp/nodejs-learning-guide",false,"402","5","0","1170","Ruby","master","Other",,"299","6498","3","1166","2016-11-03T02:35:28","2022-03-24T01:26:04","2022-04-02T03:21:11","14","3","12","6","6816","20758","2928","[{""commentLines"":0,""codeLines"":14,""blankLines"":3,""language"":""Bourne Shell""},{""commentLines"":2619,""codeLines"":10353,""blankLines"":3108,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":8237,""blankLines"":3489,""language"":""Markdown""},{""commentLines"":130,""codeLines"":314,""blankLines"":82,""language"":""make""},{""commentLines"":0,""codeLines"":8,""blankLines"":0,""language"":""D""},{""commentLines"":0,""codeLines"":7,""blankLines"":1,""language"":""YAML""},{""commentLines"":0,""codeLines"":51,""blankLines"":5,""language"":""EJS""},{""commentLines"":0,""codeLines"":660,""blankLines"":0,""language"":""JSON""},{""commentLines"":177,""codeLines"":437,""blankLines"":81,""language"":""Python""},{""commentLines"":0,""codeLines"":7,""blankLines"":1,""language"":""CSS""},{""commentLines"":2,""codeLines"":616,""blankLines"":35,""language"":""HTML""},{""commentLines"":0,""codeLines"":42,""blankLines"":10,""language"":""C++""},{""commentLines"":0,""codeLines"":12,""blankLines"":1,""language"":""Pug""}]","2022-03-24T01:25:58","9460758cf523cc461a434df4e253eb70f53d8136",true,false,false,false,"{""Ruby"":73}","bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix",""
"14160360","kkuchta/css-only-chat",false,"22","3","0","277","Ruby","master","MIT License",,"82","6443","3","21","2019-05-07T02:32:58","2023-09-08T09:40:31","2023-09-08T11:28:35","20","6","19","7","77","234","32","[{""commentLines"":32,""codeLines"":162,""blankLines"":40,""language"":""Ruby""},{""commentLines"":0,""codeLines"":62,""blankLines"":37,""language"":""Markdown""},{""commentLines"":0,""codeLines"":10,""blankLines"":0,""language"":""CSS""}]","2019-06-04T07:49:53","b5a2e3853803d0fb9b3f057b6f989a73e3f0e1b1",true,false,false,false,"{""Ruby"":8497,""CSS"":124}","bug;dependencies;duplicate;enhancement;good first issue;help wanted;invalid;promising-idea;question;wontfix",""
"14175655","guard/guard",false,"2449","7","126","483","Ruby","master","MIT License",,"121","6241","149","4015","2010-08-02T04:26:44","2024-09-17T08:48:57","2024-09-17T08:49:02","581","60","405","4","2347","8354","1393","[{""commentLines"":2,""codeLines"":358,""blankLines"":70,""language"":""Cucumber""},{""commentLines"":6,""codeLines"":138,""blankLines"":52,""language"":""HTML""},{""commentLines"":1366,""codeLines"":7249,""blankLines"":2034,""language"":""Ruby""},{""commentLines"":19,""codeLines"":381,""blankLines"":64,""language"":""YAML""},{""commentLines"":0,""codeLines"":228,""blankLines"":127,""language"":""Markdown""}]","2024-09-17T08:48:57","d9def79b1a017f62939136bb7fafedae6f9eb512",true,false,false,false,"{""Ruby"":293049,""Gherkin"":11341}","bug;confirmation needed;duplicate;feature request;good first issue;help needed;infos needed;linux;wontfix: works as expected;work in progress;⚠ breaking;✨ feature;🏠 housekeeping;💊 bug fix;📑 docs",""
"14183127","netflix/fast_jsonapi",false,"281","7","5","424","Ruby","master","Apache License 2.0",,"350","5104","63","336","2018-02-01T12:19:19","2023-03-06T04:52:00","2023-03-08T10:46:02","242","88","238","19","968","4184","77","[{""commentLines"":0,""codeLines"":8,""blankLines"":0,""language"":""YAML""},{""commentLines"":0,""codeLines"":473,""blankLines"":180,""language"":""Markdown""},{""commentLines"":0,""codeLines"":65,""blankLines"":0,""language"":""JSON""},{""commentLines"":77,""codeLines"":3638,""blankLines"":788,""language"":""Ruby""}]","2020-10-09T07:45:24","68a5515bb33c6ba4f1df4d4f7b51d33eb2bcf3a7",true,false,false,false,"{""Ruby"":137110}","answered;bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix",""
"14215590","gitlabhq/gitlabhq",false,"113536","2217","0","5724","Ruby","master","Other","https://about.gitlab.com/getting-help/","964","23743","262","1659135","2011-10-02T04:25:27","2024-10-03T03:13:15","2024-10-03T03:13:25","0","0","3626","15","2490705","7349008","180857","[{""commentLines"":2,""codeLines"":14,""blankLines"":0,""language"":""Lua""},{""commentLines"":404,""codeLines"":3039,""blankLines"":733,""language"":""Bourne Shell""},{""commentLines"":20,""codeLines"":180,""blankLines"":37,""language"":""make""},{""commentLines"":16041,""codeLines"":537249,""blankLines"":98756,""language"":""JavaScript""},{""commentLines"":144937,""codeLines"":1881462,""blankLines"":499745,""language"":""Ruby""},{""commentLines"":0,""codeLines"":48,""blankLines"":1,""language"":""CSV""},{""commentLines"":0,""codeLines"":20,""blankLines"":0,""language"":""DenizenScript""},{""commentLines"":276,""codeLines"":26327,""blankLines"":3338,""language"":""Haml""},{""commentLines"":5,""codeLines"":5,""blankLines"":3,""language"":""PowerShell""},{""commentLines"":31,""codeLines"":171,""blankLines"":48,""language"":""Python""},{""commentLines"":1265,""codeLines"":29560,""blankLines"":6757,""language"":""SCSS""},{""commentLines"":0,""codeLines"":9,""blankLines"":0,""language"":""XHTML""},{""commentLines"":1674,""codeLines"":25278,""blankLines"":5750,""language"":""Go""},{""commentLines"":0,""codeLines"":3,""blankLines"":0,""language"":""Clojure""},{""commentLines"":227,""codeLines"":3170,""blankLines"":27,""language"":""Diff""},{""commentLines"":546,""codeLines"":38450,""blankLines"":7620,""language"":""Sass""},{""commentLines"":3590,""codeLines"":505298,""blankLines"":166291,""language"":""Markdown""},{""commentLines"":439,""codeLines"":14494,""blankLines"":409,""language"":""GraphQL""},{""commentLines"":0,""codeLines"":3133,""blankLines"":546,""language"":""ERB""},{""commentLines"":5397,""codeLines"":269449,""blankLines"":4254,""language"":""YAML""},{""commentLines"":4,""codeLines"":6566,""blankLines"":1011,""language"":""XML""},{""commentLines"":974,""codeLines"":42,""blankLines"":0,""language"":""Jupyter Notebook""},{""commentLines"":4700,""codeLines"":271523,""blankLines"":11583,""language"":""Vuejs Component""},{""commentLines"":11,""codeLines"":259,""blankLines"":3,""language"":""TOML""},{""commentLines"":0,""codeLines"":36,""blankLines"":10,""language"":""INI""},{""commentLines"":0,""codeLines"":4643,""blankLines"":198,""language"":""Text""},{""commentLines"":33,""codeLines"":1146,""blankLines"":276,""language"":""CSS""},{""commentLines"":1,""codeLines"":748,""blankLines"":73,""language"":""HTML""},{""commentLines"":0,""codeLines"":265029,""blankLines"":74,""language"":""JSON""},{""commentLines"":100,""codeLines"":333,""blankLines"":133,""language"":""Dockerfile""},{""commentLines"":108,""codeLines"":557,""blankLines"":164,""language"":""Bourne Again Shell""},{""commentLines"":6,""codeLines"":637,""blankLines"":13,""language"":""SVG""},{""commentLines"":44,""codeLines"":3402071,""blankLines"":1665500,""language"":""PO File""},{""commentLines"":22,""codeLines"":58025,""blankLines"":17352,""language"":""SQL""},{""commentLines"":0,""codeLines"":34,""blankLines"":0,""language"":""Maven""}]","2024-10-03T03:12:21","d6f278de15c6285ecd2a6683edb78401473114f8",false,false,false,false,"{""Ruby"":80580312,""JavaScript"":20523067,""Vue"":8043272,""PLpgSQL"":3325551,""Haml"":1647052,""Go"":947859,""SCSS"":708792,""Shell"":167234,""HTML"":105989,""Makefile"":7650,""Python"":7489,""CSS"":5151,""Dockerfile"":3354,""PowerShell"":1150,""Smarty"":381,""Clojure"":79}","api;arm;attached pr;authentication;awaiting confirmation of fix;awaiting developer action/feedback;awaiting feedback;bitbucket;community weekend feb 2015;configuration/check;confirmed issue;crashes - 500 errors;diff/commit history;documentation;duplicate;easyfix;email;encoding;feature request;gfm (markdown);git/grit;gitorious;graph;hooks;issue tracker;javascript/coffeescript;ldap;ready for merge;relative url;service;syntax highlighting;ui;with reproduction steps","gitlab;rails;ruby"
"14215637","javan/whenever",false,"547","2","0","728","Ruby","main","MIT License",,"115","8785","85","537","2009-02-16T03:19:48","2024-03-22T02:47:08","2024-03-22T07:04:47","560","68","290","24","952","3304","191","[{""commentLines"":0,""codeLines"":4,""blankLines"":1,""language"":""make""},{""commentLines"":0,""codeLines"":25,""blankLines"":0,""language"":""YAML""},{""commentLines"":191,""codeLines"":2855,""blankLines"":620,""language"":""Ruby""},{""commentLines"":0,""codeLines"":420,""blankLines"":331,""language"":""Markdown""}]","2024-03-20T11:35:36","0687268046eaede8f1369a70870e04d3c0c83897",true,false,false,false,"{""Ruby"":118315,""Makefile"":65}","awaiting-feedback;bugfix;capistrano;feature;ruby-version-manager-mess;usage-question;wip;wontfix",""
