"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3902296","kitao/pyxel",false,"5109","2","92","825","Rust","main","MIT License",,"231","14640","60","174321","2018-06-10T04:58:54","2024-09-29T01:43:58","2024-09-29T11:46:28","389","6","160","2","5357","25264","686","[{""commentLines"":0,""codeLines"":197,""blankLines"":44,""language"":""YAML""},{""commentLines"":0,""codeLines"":7919,""blankLines"":3109,""language"":""Markdown""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""C/C++ Header""},{""commentLines"":0,""codeLines"":114,""blankLines"":0,""language"":""XML""},{""commentLines"":52,""codeLines"":90,""blankLines"":18,""language"":""make""},{""commentLines"":13,""codeLines"":448,""blankLines"":47,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":5,""blankLines"":0,""language"":""JSON""},{""commentLines"":72,""codeLines"":241,""blankLines"":47,""language"":""GLSL""},{""commentLines"":0,""codeLines"":122,""blankLines"":15,""language"":""TOML""},{""commentLines"":479,""codeLines"":6183,""blankLines"":1082,""language"":""Python""},{""commentLines"":0,""codeLines"":89,""blankLines"":12,""language"":""CSS""},{""commentLines"":0,""codeLines"":5,""blankLines"":0,""language"":""Text""},{""commentLines"":0,""codeLines"":570,""blankLines"":30,""language"":""HTML""},{""commentLines"":0,""codeLines"":44,""blankLines"":12,""language"":""Bourne Again Shell""},{""commentLines"":70,""codeLines"":9236,""blankLines"":941,""language"":""Rust""}]","2024-09-29T01:42:26","52d8874e96e55dc48e61fc4aae2d3a9dc0c79dea",true,false,false,false,"{""C++"":378745,""Rust"":319351,""Python"":238656,""GLSL"":15814,""HTML"":15229,""JavaScript"":14637,""Makefile"":4473,""CSS"":1808,""Shell"":1272,""C"":17}","bug;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","game;game-development;game-engine;gamedev;graphics;html;opengl;pico-8;pixel-art;python;pyxel;rust;tic-80;webgl"
"3990920","vosen/zluda",false,"328","7","3","599","Rust","master","Apache License 2.0",,"129","8986","4","3628","2020-01-05T06:26:03","2024-10-03T02:45:37","2024-10-03T04:24:11","165","86","54","1","18743","174333","18307","[{""commentLines"":49,""codeLines"":11715,""blankLines"":931,""language"":""LLVM IR""},{""commentLines"":10,""codeLines"":17,""blankLines"":5,""language"":""Bourne Shell""},{""commentLines"":14,""codeLines"":266,""blankLines"":64,""language"":""OpenCL""},{""commentLines"":24,""codeLines"":138,""blankLines"":31,""language"":""Python""},{""commentLines"":144,""codeLines"":108,""blankLines"":54,""language"":""Windows Resource File""},{""commentLines"":12,""codeLines"":939,""blankLines"":0,""language"":""Windows Module Definition""},{""commentLines"":7,""codeLines"":31,""blankLines"":10,""language"":""C""},{""commentLines"":2,""codeLines"":66,""blankLines"":14,""language"":""C#""},{""commentLines"":0,""codeLines"":325,""blankLines"":0,""language"":""XMI""},{""commentLines"":11,""codeLines"":59,""blankLines"":13,""language"":""YAML""},{""commentLines"":10,""codeLines"":301,""blankLines"":97,""language"":""Markdown""},{""commentLines"":0,""codeLines"":1190,""blankLines"":0,""language"":""XML""},{""commentLines"":1,""codeLines"":41,""blankLines"":1,""language"":""Visual Studio Solution""},{""commentLines"":25,""codeLines"":636,""blankLines"":131,""language"":""Cuda""},{""commentLines"":107,""codeLines"":1707,""blankLines"":78,""language"":""Assembly""},{""commentLines"":2723,""codeLines"":61443,""blankLines"":9914,""language"":""C++""},{""commentLines"":4,""codeLines"":311,""blankLines"":53,""language"":""TOML""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""CMake""},{""commentLines"":0,""codeLines"":39,""blankLines"":0,""language"":""JSON""},{""commentLines"":3,""codeLines"":2,""blankLines"":1,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":21,""blankLines"":2,""language"":""IDL""},{""commentLines"":0,""codeLines"":8,""blankLines"":4,""language"":""Text""},{""commentLines"":8488,""codeLines"":74031,""blankLines"":2502,""language"":""Rust""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""SVG""},{""commentLines"":6192,""codeLines"":18284,""blankLines"":4051,""language"":""C/C++ Header""},{""commentLines"":481,""codeLines"":2652,""blankLines"":787,""language"":""make""}]","2024-09-23T02:33:46","c92abba2bb884a4dba8ca5e3df4d46a30878f27e",false,false,false,false,"{""Rust"":2695251,""LLVM"":664469,""C"":485472,""Assembly"":399470,""Makefile"":131357,""Cuda"":20951,""Python"":7028,""C#"":1152,""Cap'n Proto"":1100,""C++"":380,""Dockerfile"":228}","bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix","cuda;rust"
"3992605","asciinema/asciinema",false,"1363","70","19","906","Rust","develop","GNU General Public License v3.0","https://asciinema.org","275","13961","52","2959","2011-11-21T09:45:44","2024-09-20T10:06:01","2024-09-22T07:24:46","334","9","197","5","1741","9698","162","[{""commentLines"":60,""codeLines"":2191,""blankLines"":567,""language"":""Python""},{""commentLines"":18,""codeLines"":2334,""blankLines"":0,""language"":""CSS""},{""commentLines"":2,""codeLines"":51,""blankLines"":5,""language"":""TOML""},{""commentLines"":43,""codeLines"":4111,""blankLines"":881,""language"":""Rust""},{""commentLines"":0,""codeLines"":95,""blankLines"":12,""language"":""Nix""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":3,""blankLines"":1,""language"":""make""},{""commentLines"":0,""codeLines"":440,""blankLines"":144,""language"":""Markdown""},{""commentLines"":0,""codeLines"":99,""blankLines"":27,""language"":""YAML""},{""commentLines"":24,""codeLines"":75,""blankLines"":43,""language"":""Bourne Shell""},{""commentLines"":15,""codeLines"":96,""blankLines"":51,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":151,""blankLines"":0,""language"":""JSON""},{""commentLines"":0,""codeLines"":51,""blankLines"":10,""language"":""HTML""}]","2024-09-20T10:05:38","2728a10bbd8242f5b2218bbd4f2a5899e140f2da",true,false,false,false,"{""Rust"":138701,""Python"":83903,""CSS"":41761,""Shell"":3469,""Dockerfile"":3271,""Nix"":2147,""HTML"":1470,""Makefile"":1384}","bug;compatibility;dependencies;feature request;fit for beginners;help wanted;hosting;idea;improvement;packaging;rust","asciicast;asciinema;cli;recorder;recording;rust;terminal"
"3992608","ankitects/anki",false,"11268","9","58","2101","Rust","main","Other","https://apps.ankiweb.net","344","18472","251","43375","2012-12-21T08:03:31","2024-10-02T09:37:40","2024-10-03T09:43:46","948","155","2522","14","22591","155333","13984","[{""commentLines"":0,""codeLines"":171,""blankLines"":0,""language"":""SVG""},{""commentLines"":34,""codeLines"":651,""blankLines"":64,""language"":""TOML""},{""commentLines"":24,""codeLines"":2065,""blankLines"":265,""language"":""Sass""},{""commentLines"":5,""codeLines"":55,""blankLines"":13,""language"":""DOS Batch""},{""commentLines"":0,""codeLines"":83,""blankLines"":2,""language"":""INI""},{""commentLines"":950,""codeLines"":15351,""blankLines"":2499,""language"":""Svelte""},{""commentLines"":0,""codeLines"":1540,""blankLines"":3,""language"":""Text""},{""commentLines"":7,""codeLines"":7,""blankLines"":6,""language"":""reStructuredText""},{""commentLines"":0,""codeLines"":6289,""blankLines"":1,""language"":""JSON""},{""commentLines"":19,""codeLines"":198,""blankLines"":46,""language"":""Dockerfile""},{""commentLines"":48,""codeLines"":144,""blankLines"":51,""language"":""Bourne Shell""},{""commentLines"":21,""codeLines"":1332,""blankLines"":0,""language"":""SQL""},{""commentLines"":0,""codeLines"":29,""blankLines"":1,""language"":""CSS""},{""commentLines"":0,""codeLines"":22,""blankLines"":0,""language"":""HTML""},{""commentLines"":7,""codeLines"":107,""blankLines"":21,""language"":""Swift""},{""commentLines"":4956,""codeLines"":60339,""blankLines"":7748,""language"":""Rust""},{""commentLines"":30,""codeLines"":151,""blankLines"":58,""language"":""Bourne Again Shell""},{""commentLines"":0,""codeLines"":8496,""blankLines"":1,""language"":""Qt""},{""commentLines"":13,""codeLines"":136,""blankLines"":40,""language"":""Starlark""},{""commentLines"":32,""codeLines"":176,""blankLines"":26,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":7,""blankLines"":0,""language"":""TeX""},{""commentLines"":0,""codeLines"":3,""blankLines"":0,""language"":""Windows Resource File""},{""commentLines"":0,""codeLines"":2528,""blankLines"":180,""language"":""Freemarker Template""},{""commentLines"":244,""codeLines"":2522,""blankLines"":441,""language"":""Protocol Buffers""},{""commentLines"":0,""codeLines"":12,""blankLines"":2,""language"":""YAML""},{""commentLines"":0,""codeLines"":792,""blankLines"":355,""language"":""Markdown""},{""commentLines"":99,""codeLines"":2007,""blankLines"":267,""language"":""SCSS""},{""commentLines"":0,""codeLines"":451,""blankLines"":37,""language"":""XML""},{""commentLines"":1755,""codeLines"":14332,""blankLines"":2670,""language"":""TypeScript""},{""commentLines"":5740,""codeLines"":35337,""blankLines"":7794,""language"":""Python""}]","2024-10-02T09:37:40","9ced6be03ec25afef66452a655c88a16bb5eb607",false,false,false,false,"{""Rust"":2361480,""Python"":1603089,""TypeScript"":585158,""Svelte"":563248,""SCSS"":54297,""Shell"":12875,""NSIS"":11721,""JavaScript"":6589,""Starlark"":6171,""Swift"":3862,""Roff"":2212,""Batchfile"":1963,""HTML"":627,""CSS"":613,""TeX"":178,""Rich Text Format"":111}","a11y;deferred;dependencies;docs;documented;duplicate;editor;forums.ankiweb.net;fsrs;good first issue;help wanted;image-occlusion;import/export;javascript;linux;mac;out of scope;python;qt;qt6;reviewer;rust;scheduler;stats;web frontend;windows",""
"4097397","rome/tools",false,"4309","38","117","718","Rust","main","MIT License","https://docs.rome.tools/","184","24316","219","144961","2020-02-20T05:57:33","2023-09-04T08:42:49","2023-09-05T07:47:21","1439","86","3097","8","40393","327016","34811","[{""commentLines"":1861,""codeLines"":22832,""blankLines"":4597,""language"":""JavaScript""},{""commentLines"":20,""codeLines"":116,""blankLines"":33,""language"":""Bourne Shell""},{""commentLines"":14,""codeLines"":16993,""blankLines"":6918,""language"":""Markdown""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""PowerShell""},{""commentLines"":47,""codeLines"":1333,""blankLines"":193,""language"":""TOML""},{""commentLines"":0,""codeLines"":30,""blankLines"":0,""language"":""Text""},{""commentLines"":60,""codeLines"":1904,""blankLines"":157,""language"":""JSX""},{""commentLines"":0,""codeLines"":9885,""blankLines"":21,""language"":""JSON""},{""commentLines"":1776,""codeLines"":16493,""blankLines"":2789,""language"":""TypeScript""},{""commentLines"":30,""codeLines"":1878,""blankLines"":365,""language"":""SCSS""},{""commentLines"":1,""codeLines"":19,""blankLines"":5,""language"":""Dockerfile""},{""commentLines"":4,""codeLines"":265,""blankLines"":0,""language"":""SVG""},{""commentLines"":29,""codeLines"":7764,""blankLines"":1146,""language"":""YAML""},{""commentLines"":17,""codeLines"":167,""blankLines"":16,""language"":""CSS""},{""commentLines"":1,""codeLines"":1907,""blankLines"":365,""language"":""Sass""},{""commentLines"":30951,""codeLines"":245429,""blankLines"":23788,""language"":""Rust""}]","2023-08-29T02:44:32","392d188a49d70e495f13b1bb08cd7d9c43690f9b",false,true,false,false,"{""Rust"":7195843,""JavaScript"":1015867,""TypeScript"":620616,""MDX"":89928,""Astro"":48350,""SCSS"":37244,""Liquid"":15046,""CSS"":5303,""Shell"":4711,""Just"":2855,""HTML"":839,""Dockerfile"":337,""Batchfile"":126,""PowerShell"":14}","a-bundler;a-cli;a-compiler;a-core;a-design;a-diagnostic;a-documentation;a-editors;a-formatter;a-governance;a-licenses;a-linter;a-lsp;a-parser;a-project;a-resolver;a-runtime;a-tooling;a-website;breaking;e-vscode;enhancement;good first issue;hacktoberfest;hacktoberfest-accepted;help wanted;i-difficult;i-easy;i-normal;i-staff;invalid;l-css;l-html;l-javascript;l-json;l-jsx;l-markdown;l-typescript;p-unix;p-windows;pr-needs changelog line;pr-needs documentation;pr: on hold;regression;s-bug: confirmed;s-duplicate;s-needs info;s-planned;s-to triage;s-wishlist;task;umbrella;wontfix","formatter;javascript;linter;toolchain;typescript"
"4269241","rolldown/rolldown",false,"1924","71","8","450","Rust","main","MIT License","https://rolldown.rs","51","8157","82","23663","2023-09-18T02:20:28","2024-10-03T06:08:21","2024-10-03T11:38:14","321","53","2013","16","12066","99830","3676","[{""commentLines"":0,""codeLines"":23387,""blankLines"":2676,""language"":""Text""},{""commentLines"":1,""codeLines"":122,""blankLines"":11,""language"":""CSS""},{""commentLines"":220,""codeLines"":855,""blankLines"":178,""language"":""TOML""},{""commentLines"":0,""codeLines"":9,""blankLines"":2,""language"":""INI""},{""commentLines"":0,""codeLines"":2,""blankLines"":0,""language"":""HTML""},{""commentLines"":794,""codeLines"":14318,""blankLines"":1148,""language"":""JavaScript""},{""commentLines"":0,""codeLines"":87,""blankLines"":0,""language"":""SVG""},{""commentLines"":1882,""codeLines"":26039,""blankLines"":3218,""language"":""Rust""},{""commentLines"":58,""codeLines"":10653,""blankLines"":2774,""language"":""YAML""},{""commentLines"":2,""codeLines"":4253,""blankLines"":893,""language"":""Markdown""},{""commentLines"":0,""codeLines"":64,""blankLines"":6,""language"":""JSX""},{""commentLines"":0,""codeLines"":7876,""blankLines"":35,""language"":""JSON""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""Vuejs Component""},{""commentLines"":0,""codeLines"":1,""blankLines"":0,""language"":""XML""},{""commentLines"":719,""codeLines"":12163,""blankLines"":1125,""language"":""TypeScript""}]","2024-10-03T03:56:16","f1e4907bd4018352adfa069db113bedf0c7b82c8",false,false,false,false,"{""Rust"":1006529,""JavaScript"":290778,""TypeScript"":180916,""Vue"":5489,""Just"":3124,""CSS"":882,""HTML"":7,""RenderScript"":1}","autofix.ci;bug;bug: resolve;bug: upstream;contrib: easy;contrib: hard;contrib: medium;documentation;duplicate;feat;good first issue;has workaround;help wanted;infra;needs-triage;on hold;on hold: awaiting more feedback;on hold: not planned;on hold: to be discussed;ready to merge;scope: npm package;scope: perf;scope: rollup-compat;scope: tests;scope: treeshaking;scope: wasi;scope: workflow;stale;tracking;wontfix","bundler;javascript;typescript"
"7791649","facebook/relay",false,"10038","79","84","1817","Rust","main","MIT License","https://relay.dev","329","18391","304","6572825","2015-08-10T10:09:16","2024-10-04T12:14:21","2024-10-03T10:25:43","2236","542","2543","135","69465","540582","84774","[{""commentLines"":73828,""codeLines"":304148,""blankLines"":24650,""language"":""JavaScript""},{""commentLines"":26,""codeLines"":26,""blankLines"":13,""language"":""Bourne Shell""},{""commentLines"":6,""codeLines"":174,""blankLines"":26,""language"":""Flatbuffers""},{""commentLines"":9069,""codeLines"":105818,""blankLines"":11849,""language"":""Rust""},{""commentLines"":1,""codeLines"":49,""blankLines"":0,""language"":""SVG""},{""commentLines"":53,""codeLines"":1067,""blankLines"":177,""language"":""TOML""},{""commentLines"":1453,""codeLines"":22205,""blankLines"":2976,""language"":""GraphQL""},{""commentLines"":0,""codeLines"":251,""blankLines"":29,""language"":""Text""},{""commentLines"":26,""codeLines"":434,""blankLines"":31,""language"":""YAML""},{""commentLines"":16,""codeLines"":91134,""blankLines"":29083,""language"":""Markdown""},{""commentLines"":0,""codeLines"":11552,""blankLines"":5,""language"":""JSON""},{""commentLines"":184,""codeLines"":779,""blankLines"":188,""language"":""TypeScript""},{""commentLines"":14,""codeLines"":35,""blankLines"":11,""language"":""Python""},{""commentLines"":96,""codeLines"":2100,""blankLines"":427,""language"":""CSS""},{""commentLines"":2,""codeLines"":810,""blankLines"":0,""language"":""HTML""}]","2024-10-03T10:14:26","b02a3f9e6418b25a906b650074544cc2824f48d7",true,false,false,false,"{""Rust"":4824659,""JavaScript"":3623843,""HTML"":103086,""MDX"":46909,""CSS"":43705,""TypeScript"":33211,""Shell"":2033,""Python"":1730}","announcement;bug;chore;cla signed;dependencies;discussion;do-not-reap;docs;duplicate;enhancement;fb-exported;fh:direct-merge-enabled;fixready;gh review: accepted;gh review: needs-revision;gh review: review-needed;good first bug;help wanted;import started;inprogress;invalid;javascript;legacy-core-api;merged;mutations;new-core-api;pinned;project;question;reverted;rust;typescript;windows;wontfix",""
"7913729","cube-js/cube.js",false,"6853","393","781","1507","Rust","master","Other","https://cube.dev","152","14582","254","239408","2018-09-16T06:58:46","2023-02-18T08:26:58","2023-02-19T05:58:35","1709","412","4464","284","169617","477363","17540","[{""commentLines"":8,""codeLines"":1590,""blankLines"":3,""language"":""SVG""},{""commentLines"":33,""codeLines"":3129,""blankLines"":523,""language"":""Sass""},{""commentLines"":0,""codeLines"":32,""blankLines"":0,""language"":""XML""},{""commentLines"":26,""codeLines"":1011,""blankLines"":132,""language"":""JSX""},{""commentLines"":137,""codeLines"":1113,""blankLines"":114,""language"":""ANTLR Grammar""},{""commentLines"":11,""codeLines"":443,""blankLines"":49,""language"":""TOML""},{""commentLines"":108,""codeLines"":848,""blankLines"":210,""language"":""Dockerfile""},{""commentLines"":0,""codeLines"":10382,""blankLines"":17,""language"":""JSON""},{""commentLines"":2,""codeLines"":170,""blankLines"":17,""language"":""Jinja Template""},{""commentLines"":67,""codeLines"":726,""blankLines"":256,""language"":""Bourne Shell""},{""commentLines"":351,""codeLines"":2306,""blankLines"":226,""language"":""HTML""},{""commentLines"":29,""codeLines"":31096,""blankLines"":91,""language"":""SQL""},{""commentLines"":30,""codeLines"":2294,""blankLines"":390,""language"":""CSS""},{""commentLines"":4012,""codeLines"":137348,""blankLines"":13367,""language"":""Rust""},{""commentLines"":3530,""codeLines"":76458,""blankLines"":7453,""language"":""JavaScript""},{""commentLines"":8,""codeLines"":297,""blankLines"":254,""language"":""Handlebars""},{""commentLines"":8,""codeLines"":1324,""blankLines"":114,""language"":""Vuejs Component""},{""commentLines"":7,""codeLines"":11,""blankLines"":1,""language"":""Diff""},{""commentLines"":201,""codeLines"":72,""blankLines"":54,""language"":""Protocol Buffers""},{""commentLines"":231,""codeLines"":6782,""blankLines"":491,""language"":""YAML""},{""commentLines"":0,""codeLines"":101793,""blankLines"":133019,""language"":""Markdown""},{""commentLines"":0,""codeLines"":418,""blankLines"":47,""language"":""GraphQL""},{""commentLines"":8678,""codeLines"":97392,""blankLines"":12680,""language"":""TypeScript""},{""commentLines"":10,""codeLines"":94,""blankLines"":21,""language"":""Less""},{""commentLines"":53,""codeLines"":234,""blankLines"":88,""language"":""Python""}]","2023-02-18T06:15:03","be362556ba6f869dfef38d1f4a2e5ddfdaed1901",false,false,false,false,"{""Rust"":5162588,""TypeScript"":3087233,""JavaScript"":1020296,""Dockerfile"":34366,""ANTLR"":33136,""Handlebars"":6165,""CSS"":4682,""HTML"":4225,""Shell"":3357,""Less"":530}","backend:cli;backend:cube-store;backend:cubesql;backend:graphql-api;backend:pre-aggregations;backend:server;backend:serverless-aws;backend:serverless-gcp;backend:sql-api;bug;client:core;client:ngx;client:playground;client:react;client:vue;community supported;community supported driver;database driver;dependencies;docker;docs;driver:athena;driver:bigquery;driver:clickhouse;driver:crate;driver:dremio;driver:druid;driver:elasticsearch;driver:firebolt;driver:hive;driver:mongobi;driver:mssql;driver:mysql;driver:mysql-aurora-serverless;driver:oracle;driver:postgres;driver:prestodb;driver:questdb;driver:redshift;driver:snowflake;driver:sqlite;duplicate;enhancement;epic;examples;good first issue;helm charts;help wanted;javascript;logged;pr:community;question;recipe;reviewed;roadmap: 2020 q4;roadmap: 2021 q1;roadmap: 2021 q2;roadmap: 2021 q3;roadmap: 2021 q4;roadmap: 2022 q1;roadmap: 2022 q2;roadmap: 2022 q3;roadmap: 2022 q4;roadmap: 2024 q1;rust;security",""
"10952881","swc-project/swc",false,"9707","5","560","1212","Rust","main","Apache License 2.0","https://swc.rs","152","31006","287","351935","2017-12-22T11:40:14","2024-10-02T07:04:02","2024-10-03T07:51:26","3553","352","5394","26","292700","8719304","440671","[{""commentLines"":218,""codeLines"":1600,""blankLines"":219,""language"":""YAML""},{""commentLines"":17,""codeLines"":1460,""blankLines"":1308,""language"":""Markdown""},{""commentLines"":299649,""codeLines"":1964661,""blankLines"":143903,""language"":""JavaScript""},{""commentLines"":25337,""codeLines"":552595,""blankLines"":62806,""language"":""Rust""},{""commentLines"":127,""codeLines"":703,""blankLines"":262,""language"":""Bourne Shell""},{""commentLines"":0,""codeLines"":3,""blankLines"":0,""language"":""Sass""},{""commentLines"":0,""codeLines"":3705,""blankLines"":74,""language"":""Text""},{""commentLines"":314,""codeLines"":4362,""blankLines"":685,""language"":""TOML""},{""commentLines"":0,""codeLines"":88,""blankLines"":21,""language"":""Python""},{""commentLines"":5379,""codeLines"":128800,""blankLines"":9144,""language"":""CSS""},{""commentLines"":608,""codeLines"":23999,""blankLines"":3425,""language"":""HTML""},{""commentLines"":108900,""codeLines"":496295,""blankLines"":70697,""language"":""TypeScript""},{""commentLines"":5,""codeLines"":66,""blankLines"":5,""language"":""JSX""},{""commentLines"":117,""codeLines"":588,""blankLines"":40,""language"":""XML""},{""commentLines"":0,""codeLines"":5540376,""blankLines"":111,""language"":""JSON""},{""commentLines"":0,""codeLines"":3,""blankLines"":0,""language"":""SCSS""}]","2024-10-02T06:36:05","f15c7a64cef68aca6ae902c4e58afcc9ba79482f",false,false,false,false,"{""Rust"":21119967,""JavaScript"":445421,""TypeScript"":164050,""Shell"":26022,""Python"":3015,""SCSS"":22,""RenderScript"":8}","a: bundler;a: cli;a: core;a: es minifier;a: es parser;a: es transform;a: meta;a: plugin;area: es minifier;automerge;c-bug;e-easy;e-hard;e-medium;e-mentor;enhancement;feature request;good first issue;help wanted;invalid;invalid link;l-css;l-ecmascript;l-sass;l-typescript;need more info;p-high;p-low;p-medium;question;s-approved;stale;t-performance;wontfix","babel;compiler;ecmascript;ecmascript-parser;javascript;parser;rust;swc;typescript;typescript-compiler;typescript-parser"
"18812602","rustpython/rustpython",false,"13887","7","0","1227","Rust","main","MIT License","https://rustpython.github.io","167","18991","349","68250","2018-05-28T07:27:01","2024-09-29T03:50:01","2024-09-29T05:42:40","1118","304","4249","90","105399","547897","122036","[{""commentLines"":2,""codeLines"":46,""blankLines"":8,""language"":""Bourne Again Shell""},{""commentLines"":0,""codeLines"":4728,""blankLines"":329,""language"":""Text""},{""commentLines"":208,""codeLines"":873,""blankLines"":139,""language"":""TOML""},{""commentLines"":0,""codeLines"":513,""blankLines"":25,""language"":""HTML""},{""commentLines"":116637,""codeLines"":436356,""blankLines"":93248,""language"":""Python""},{""commentLines"":6,""codeLines"":301,""blankLines"":66,""language"":""CSS""},{""commentLines"":0,""codeLines"":2,""blankLines"":4,""language"":""DTD""},{""commentLines"":120,""codeLines"":774,""blankLines"":88,""language"":""JavaScript""},{""commentLines"":18,""codeLines"":147,""blankLines"":52,""language"":""Bourne Shell""},{""commentLines"":5,""codeLines"":140,""blankLines"":13,""language"":""EJS""},{""commentLines"":4891,""codeLines"":100873,""blankLines"":10753,""language"":""Rust""},{""commentLines"":14,""codeLines"":795,""blankLines"":343,""language"":""Markdown""},{""commentLines"":5,""codeLines"":12,""blankLines"":9,""language"":""C Shell""},{""commentLines"":13,""codeLines"":40,""blankLines"":13,""language"":""Fish Shell""},{""commentLines"":0,""codeLines"":5,""blankLines"":0,""language"":""XSLT""},{""commentLines"":14,""codeLines"":521,""blankLines"":41,""language"":""YAML""},{""commentLines"":0,""codeLines"":165,""blankLines"":51,""language"":""reStructuredText""},{""commentLines"":92,""codeLines"":114,""blankLines"":49,""language"":""PowerShell""},{""commentLines"":3,""codeLines"":40,""blankLines"":25,""language"":""Dockerfile""},{""commentLines"":1,""codeLines"":41,""blankLines"":15,""language"":""DOS Batch""},{""commentLines"":7,""codeLines"":392,""blankLines"":128,""language"":""XML""},{""commentLines"":0,""codeLines"":1019,""blankLines"":0,""language"":""JSON""}]","2024-09-29T03:50:01","29d95340b0e6358922a9547fd31ee065fc26ca3d",true,false,false,false,"{""Rust"":3652321,""Python"":632427,""JavaScript"":30196,""PLSQL"":22886,""Roff"":21126,""EJS"":6422,""CSS"":4868,""Shell"":4375,""Batchfile"":1335,""Dockerfile"":593,""PowerShell"":500,""HTML"":359,""XSLT"":153}","a-compiler;a-design;a-docs;a-packaging;a-stdlib;a-vm;c-bug;c-cleanup;c-compat;c-discussion;c-enhancement;cpython;dependencies;duplicate;e-help-wanted;good first issue;hacktoberfest-accepted;invalid;javascript;o-linux;o-macos;o-wasm;o-windows;python;rfc;rust;skip:ci;skip:ci-macos;skip:ci-windows;spam;wontfix;z-ca-2021;z-ca-2022;z-ca-2023;z-ls-2023","compiler;hacktoberfest;interpreter;jit;language;python-language;python3;rust;wasm"
