full_name,language,stars
jasontaylordev/cleanarchitecture,C#,16709
ardalis/cleanarchitecture,C#,16232
ql-win/quicklook,C#,16131
netchx/netch,C#,16038
bitwarden/server,C#,15259
ppy/osu,C#,15139
materialdesigninxaml/materialdesigninxamltoolkit,C#,15077
dotnet/runtime,C#,15055
rocksdanister/lively,C#,14884
carlospolop/peass-ng,C#,14713
openra/openra,C#,14640
dotnet/efcore,C#,13679
stackexchange/dapper,C#,13596
app-vnext/polly,C#,13348
abpframework/abp,C#,12802
dotnet/aspnetcore.docs,C#,12576
marticliment/UniGetUI,C#,12255
jackett/jackett,C#,12114
aspnetboilerplate/aspnetboilerplate,C#,11782
unity-technologies/unitycsreference,C#,11762
bluepointlilac/contextmenumanager,C#,11760
nilaoda/n_m3u8dl-cli,C#,11724
questpdf/questpdf,C#,11720
monogame/monogame,C#,11363
winsw/winsw,C#,11275
justarchinet/archisteamfarm,C#,11134
duplicati/duplicati,C#,11016
jbogard/mediatr,C#,11005
mono/mono,C#,10997
klocman/bulk-crap-uninstaller,C#,10928
jamesnk/newtonsoft.json,C#,10660
sonarr/sonarr,C#,10636
kgrzybek/modular-monolith-with-ddd,C#,10482
dotnet/benchmarkdotnet,C#,10438
chocolatey/choco,C#,10256
microsoft/garnet,C#,10197
marticliment/WingetUI,C#,10166
dotnet/orleans,C#,10057
radarr/radarr,C#,9985
dotnet-architecture/eshoponweb,C#,9974
automapper/automapper,C#,9912
perfare/assetstudio,C#,9880
cefsharp/cefsharp,C#,9839
srwi/everythingtoolbar,C#,9742
gui-cs/terminal.gui,C#,9603
restsharp/restsharp,C#,9570
quantconnect/lean,C#,9565
hangfireio/hangfire,C#,9347
nilaoda/bbdown,C#,9290
spectreconsole/spectre.console,C#,9263
mahapps/mahapps.metro,C#,9230
nopsolutions/nopcommerce,C#,9210
felixse/fluentterminal,C#,9185
dodyg/practical-aspnetcore,C#,9147
dotnet/machinelearning,C#,9016
fluentvalidation/fluentvalidation,C#,8999
signalr/signalr,C#,8947
file-new-project/eartrumpet,C#,8871
josefnemec/playnite,C#,8851
unoplatform/uno,C#,8805
0x7c13/notepads,C#,8688
bchavez/bogus,C#,8638
humanizr/humanizer,C#,8580
richasy/bili.uwp,C#,8512
reactiveui/refit,C#,8507
microsoft/reverse-proxy,C#,8479
subtitleedit/subtitleedit,C#,8421
mbdavid/litedb,C#,8375
threemammals/ocelot,C#,8344
mathewsachin/captura,C#,8318
lucasg/dependencies,C#,8227
reactiveui/reactiveui,C#,8061
mudblazor/mudblazor,C#,7914
flow-launcher/flow.launcher,C#,7796
dvf/blockchain,C#,7714
gitextensions/gitextensions,C#,7712
microsoft/ailab,C#,7664
tyrrrz/discordchatexporter,C#,7566
orchardcms/orchardcore,C#,7387
autodarkmode/windows-auto-night-mode,C#,7349
Reference-LAPACK/lapack,Fortran,1488
wrf-model/WRF,Fortran,1232
ElmerCSC/elmerfem,Fortran,1176
fortran-lang/stdlib,Fortran,1058
fortran-lang/fpm,Fortran,873
cp2k/cp2k,Fortran,839
OpenFAST/openfast,Fortran,679
OpenRadioss/OpenRadioss,Fortran,588
grimme-lab/xtb,Fortran,569
nwchemgit/nwchem,Fortran,495
modern-fortran/neural-fortran,Fortran,396
Nek5000/Nek5000,Fortran,377
FluidityProject/fluidity,Fortran,364
E3SM-Project/E3SM,Fortran,346
jacobwilliams/json-fortran,Fortran,333
MITgcm/MITgcm,Fortran,328
dftbplus/dftbplus,Fortran,327
ESCOMP/CTSM,Fortran,306
JuliaPackaging/Yggdrasil,Fortran,304
libprima/prima,Fortran,292
opencollab/arpack-ng,Fortran,284
USEPA/CMAQ,Fortran,277
nasa/CFL3D,Fortran,275
NOAA-EMC/WW3,Fortran,259
quanshengwu/wannier_tools,Fortran,255
MODFLOW-USGS/modflow6,Fortran,251
ucns3d-team/UCNS3D,Fortran,247
rouyang2017/SISSO,Fortran,238
sourceryinstitute/OpenCoarrays,Fortran,236
flame/libflame,Fortran,232
spacepy/spacepy,Fortran,229
mdolab/adflow,Fortran,219
flexi-framework/flexi,Fortran,210
ylikx/forpy,Fortran,203
certik/fortran-utils,Fortran,202
abinit/abinit,Fortran,202
ROCm/aomp,Fortran,202
NCAR/DART,Fortran,191
NCAR/wrf_hydro_nwm_public,Fortran,176
Warwick-Plasma/epoch,Fortran,176
certik/fastGPT,Fortran,174
CDAT/cdat,Fortran,173
scientific-computing/FKB,Fortran,173
Goddard-Fortran-Ecosystem/pFUnit,Fortran,169
geoschem/geos-chem,Fortran,167
ExtremeFLOW/neko,Fortran,166
jacobwilliams/bspline-fortran,Fortran,161
dftd4/dftd4,Fortran,160
ROCm/gpufort,Fortran,159
kookma/ogpf,Fortran,157
esmf-org/esmf,Fortran,156
clawpack/pyclaw,Fortran,155
daoudclarke/wartonlegacy,Fortran,152
CliMT/climt,Fortran,148
DSSAT/dssat-csm-os,Fortran,148
xcompact3d/Incompact3d,Fortran,145
modern-fortran/tsunami,Fortran,143
MFlowCode/MFC,Fortran,141
MESAHub/mesa,Fortran,138
ExeClim/Isca,Fortran,137
